radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,310,260,22767,10567937,0,-74.0014,40.7537,4053,8,1,1664578221,1746277686,0
LTE,310,260,22767,10566145,0,-73.9939,40.7522,1893,6,1,1664578230,1750005015,0
LTE,310,260,22766,12446216,-1,-74.0002,40.703,1000,21,1,1664856630,1747687381,0
LTE,310,260,22766,12446215,-1,-73.9988,40.7072,1002,27,1,1664856640,1735541950,0
LTE,310,260,22766,11723273,-1,-73.9925,40.7073,769,29,1,1664856660,1751330470,0
LTE,310,260,22766,34672133,-1,-73.9861,40.7085,5694,8,1,1664856680,1734676983,0
LTE,310,260,22766,11297289,-1,-73.9867,40.7104,569,50,1,1664856690,1729402817,0
LTE,310,260,22766,12032520,-1,-73.9747,40.7151,1000,24,1,1664856750,1747592103,0
LTE,310,260,22766,12032519,-1,-73.9703,40.7199,1000,22,1,1664856760,1747578782,0
LTE,310,260,22766,12822280,-1,-73.9785,40.7179,1425,22,1,1664856790,1747578782,0
LTE,310,260,22767,11237890,-1,-73.9727,40.7284,1123,17,1,1664856830,1747578782,0
LTE,310,260,22767,11237889,-1,-73.9738,40.7326,1000,23,1,1664856860,1735541949,0
LTE,310,260,22767,11236865,-1,-73.9741,40.7362,1000,15,1,1664856880,1735541949,0
LTE,310,260,22767,13759490,-1,-73.9738,40.7388,1000,12,1,1664856890,1735541949,0
LTE,310,260,22767,13759489,-1,-73.9711,40.7438,1000,18,1,1664856910,1735541949,0
LTE,310,260,22767,11235842,-1,-73.9731,40.7434,500,25,1,1664856920,1744950202,0
LTE,310,260,22767,13759495,-1,-73.9718,40.7445,2736,29,1,1664856930,1734676989,0
LTE,310,260,22767,11684360,-1,-73.9719,40.7379,1583,25,1,1664856940,1751330404,0
LTE,310,410,2411,29628183,-1,-73.9776,40.7095,1152,15,1,1665017535,1747597021,0
LTE,310,260,22766,10571522,-1,-73.9957,40.737,1000,11,1,1665355247,1752168781,0
LTE,310,260,22753,12654344,-1,-73.9968,40.7003,602,25,1,1667341012,1747687381,0
LTE,310,260,22753,12654341,-1,-73.9969,40.7013,7261,34,1,1667356114,1729402817,0
LTE,310,260,22764,10660609,-1,-73.9917,40.7025,667,26,1,1667356144,1756801263,0
LTE,310,260,22764,10509058,-1,-73.9906,40.7014,500,25,1,1667356164,1764289388,0
LTE,310,260,22764,34479874,-1,-73.9874,40.701,1000,23,1,1667356174,1773283945,0
LTE,310,260,22755,14270209,-1,-73.9907,40.701,1000,21,1,1667356204,1734676988,0
LTE,310,260,22764,10509057,-1,-73.992,40.7065,6652,25,1,1667356224,1759192266,0
LTE,310,260,22766,11723267,-1,-73.9933,40.709,5507,29,1,1667356234,1750005069,0
LTE,310,260,22767,11237896,-1,-73.9716,40.7287,1091,17,1,1667356504,1747578782,0
LTE,310,260,22767,11237895,-1,-73.9741,40.7337,1000,14,1,1667356534,1734676989,0
LTE,310,260,22767,11236872,-1,-73.9733,40.7333,1515,20,1,1667356554,1747578782,0
LTE,310,260,22767,11236871,-1,-73.9748,40.7365,1000,24,1,1667356564,1735541949,0
LTE,310,260,22767,13759496,-1,-73.9739,40.7384,1000,24,1,1667356574,1735541949,0
LTE,310,260,22767,10536457,0,-73.9841,40.7475,1000,8,1,1667684813,1747687382,0
LTE,310,260,22767,32374275,0,-73.9857,40.7469,1000,3,1,1667684828,1747687382,0
LTE,310,260,22767,32374351,0,-73.985,40.7482,1000,16,1,1667684860,1750005015,0
LTE,310,260,22767,32374349,0,-73.9855,40.7474,1000,4,1,1667685653,1747687382,0
LTE,310,260,22767,11723009,0,-73.9873,40.7447,1000,10,1,1667685839,1747687382,0
LTE,310,260,22767,11723017,0,-73.9868,40.7461,1000,2,1,1667685875,1747521370,0
LTE,310,260,22767,14407169,0,-73.9863,40.7458,1000,10,1,1667691844,1747687382,0
LTE,310,260,22767,11636743,0,-73.9938,40.7544,1000,4,1,1667871588,1747692962,0
LTE,310,260,22767,32336642,0,-73.9925,40.7425,6341,6,1,1667871657,1747692962,0
LTE,310,260,22767,11727880,0,-73.9933,40.7532,1000,4,1,1667871718,1743530942,0
LTE,310,260,22767,11727879,0,-73.9921,40.7541,1000,10,1,1667871766,1747687446,0
LTE,310,260,22767,11706120,0,-73.9916,40.7481,7693,10,1,1667871805,1752339542,0
LTE,310,260,22767,11240271,0,-73.9808,40.7539,1000,7,1,1667874008,1747687382,0
LTE,310,260,22767,11240195,0,-73.981,40.7538,1000,5,1,1667874023,1747687382,0
LTE,310,260,22767,11708168,0,-73.9842,40.7546,1000,9,1,1667874116,1748135165,0
LTE,310,260,22767,11708162,0,-73.9842,40.755,1000,11,1,1667874472,1744404192,0
LTE,310,260,22767,33314562,0,-73.986,40.7458,1000,4,1,1667909047,1747687382,0
LTE,310,410,2332,29278133,0,-73.9904,40.7205,3130,4,1,1667929432,1730541681,0
LTE,310,410,2400,28616326,0,-73.9914,40.7178,4382,3,1,1667929920,1729402825,0
LTE,310,260,22767,11723016,0,-73.9882,40.7433,1000,12,1,1667935305,1747687382,0
LTE,310,260,22767,10536455,0,-73.9844,40.7469,1000,7,1,1668197958,1734412445,0
LTE,310,260,22764,10509063,-1,-73.9912,40.7028,548,26,1,1669174077,1773283933,0
LTE,310,260,22766,14387713,-1,-74.0007,40.7091,1000,14,1,1669174141,1729402807,0
LTE,310,260,22766,14387715,-1,-74.0002,40.709,1000,21,1,1669174151,1734676988,0
LTE,310,260,22766,11681099,-1,-74.0035,40.7122,1400,44,1,1669174173,1747603141,0
LTE,310,260,22766,10540296,-1,-74.0042,40.7411,1280,15,1,1669463452,1747438281,0
LTE,310,260,22766,10540290,-1,-74.0045,40.7409,1288,12,1,1669463214,1747438279,0
LTE,310,260,22766,10540297,-1,-74.0092,40.7412,1000,14,1,1669464124,1747438281,0
LTE,310,260,22766,10540307,-1,-74.0089,40.7419,1000,15,1,1669464137,1747438281,0
LTE,310,260,23012,14246146,-1,-74.0113,40.7419,1000,3,1,1669464544,1747438280,0
LTE,310,260,23012,32094722,-1,-74.01,40.7379,1000,8,1,1669465226,1736792043,0
LTE,310,260,22766,32788226,-1,-74.0035,40.7326,1000,7,1,1669466301,1747499463,0
LTE,310,260,22766,11704834,-1,-74.0008,40.7315,1000,14,1,1669466447,1747499462,0
LTE,310,260,22766,12066568,-1,-74.0032,40.7317,1000,8,1,1669466481,1747499463,0
LTE,310,260,22766,12216583,-1,-73.9997,40.7283,1000,12,1,1669477497,1747499463,0
LTE,310,260,22766,11646481,-1,-73.9957,40.733,1000,24,1,1669478254,1733025378,0
LTE,310,260,22753,55313421,-1,-73.9932,40.7341,1000,24,1,1669478716,1733025378,0
LTE,310,260,22766,11646471,-1,-73.9938,40.7358,500,25,1,1669478736,1733025378,0
LTE,310,260,22767,32601860,-1,-73.9902,40.7388,1000,11,1,1669479092,1747521370,0
LTE,310,260,22767,11238147,-1,-73.9894,40.7404,1000,8,1,1669479578,1747521370,0
LTE,310,260,22767,11238145,-1,-73.989,40.741,1000,5,1,1669479655,1747521370,0
LTE,310,260,22767,12532738,-1,-73.9888,40.7415,1000,13,1,1669479675,1747521371,0
LTE,310,260,22767,11705608,-1,-73.9888,40.7432,1000,9,1,1669479815,1747521371,0
LTE,310,260,22767,11705602,-1,-73.9887,40.7434,1000,13,1,1669479830,1747687382,0
LTE,310,260,22767,11705601,-1,-73.9905,40.7363,2472,5,1,1669479871,1747521370,0
LTE,310,260,22767,11705421,-1,-73.9921,40.736,6361,8,1,1669480089,1747687382,0
LTE,310,260,22767,11705352,-1,-73.9911,40.7453,1000,6,1,1669480146,1747354203,0
LTE,310,260,22767,12817159,-1,-73.9963,40.7472,1000,6,1,1669480561,1747438275,0
LTE,310,260,22767,10567939,-1,-73.9955,40.7494,1000,9,1,1669480604,1736792043,0
LTE,310,260,22753,14497282,-1,-73.9977,40.7494,1000,6,1,1669480733,1747438275,0
LTE,310,260,22753,14914051,-1,-74.0016,40.7516,1000,12,1,1669481001,1747438278,0
