Facility ID,Facility Name,Description,Short Description,Attribute Type,Attribute Value,Measure Value,Sub Type,County,Regional Office,Effective Date
9917,Sun River Health Church Avenue,Diagnostic and Treatment Center Extension Clinic,DTC-EC,Service,Certified Mental Health Services O/P,,Processing Stations,Kings,Metropolitan Area Regional Office - New York City,04/21/2016
9917,Sun River Health Church Avenue,Diagnostic and Treatment Center Extension Clinic,DTC-EC,Service,Medical Services - Primary Care,,Processing Stations,Kings,Metropolitan Area Regional Office - New York City,04/21/2016
9918,Daniel Squire Oral D & T Center - School-Based Mobile Dental Equipment Clinic,Mobile Diagnostic and Treatment Center Extension Clinic,,Service,Clinic: School Based Dental Program,,Processing Stations,Erie,Western Regional Office - Buffalo,01/12/2011
9919,Copake Primary Care,Hospital Extension Clinic,HOSP-EC,Service,Medical Services - Other Medical Specialties,,Processing Stations,Columbia,Capital District Regional Office,05/23/2016
9919,Copake Primary Care,Hospital Extension Clinic,HOSP-EC,Service,Medical Services - Primary Care,,Processing Stations,Columbia,Capital District Regional Office,05/23/2016
9920,Freedom Center of Syosset,Diagnostic and Treatment Center,DTC,Service,Home Hemodialysis Training and Support,,Processing Stations,Nassau,Metropolitan Area Regional Office - Long Island,06/29/2021
9920,Freedom Center of Syosset,Diagnostic and Treatment Center,DTC,Service,Home Peritoneal Dialysis Training and Support,,Processing Stations,Nassau,Metropolitan Area Regional Office - Long Island,02/01/2018
9920,Freedom Center of Syosset,Diagnostic and Treatment Center,DTC,Service,Renal Dialysis - Chronic O/P,14,Processing Stations,Nassau,Metropolitan Area Regional Office - Long Island,02/01/2018
9922,NDH Cardiac Testing - Kingston,Hospital Extension Clinic,HOSP-EC,Service,Medical Services - Other Medical Specialties,,Processing Stations,Ulster,Metropolitan Area Regional Office - New Rochelle,05/25/2016
9922,NDH Cardiac Testing - Kingston,Hospital Extension Clinic,HOSP-EC,Service,Medical Services - Primary Care,,Processing Stations,Ulster,Metropolitan Area Regional Office - New Rochelle,05/25/2016
9923,Fort Tryon Center for Rehabilitation and Nursing,Adult Day Health Care Program - Offsite,ADHCP,Service,Adult Day Health Care,42,Processing Stations,New York,Metropolitan Area Regional Office - New York City,04/18/2016
9924,IDCC Health Services,Diagnostic and Treatment Center,DTC,Service,Medical Services - Other Medical Specialties,,Processing Stations,Kings,Metropolitan Area Regional Office - New York City,04/04/2016
9924,IDCC Health Services,Diagnostic and Treatment Center,DTC,Service,Medical Services - Primary Care,,Processing Stations,Kings,Metropolitan Area Regional Office - New York City,04/04/2016
9926,Port Washington Dialysis Center,Diagnostic and Treatment Center,DTC,Service,Renal Dialysis - Chronic O/P,18,Processing Stations,Nassau,Metropolitan Area Regional Office - Long Island,03/01/2016
9927,Williamsbridge Home Dialysis Center,Diagnostic and Treatment Center Extension Clinic,DTC-EC,Service,Home Hemodialysis Training and Support,,Processing Stations,Bronx,Metropolitan Area Regional Office - New York City,08/28/2015
9927,Williamsbridge Home Dialysis Center,Diagnostic and Treatment Center Extension Clinic,DTC-EC,Service,Home Peritoneal Dialysis Training and Support,,Processing Stations,Bronx,Metropolitan Area Regional Office - New York City,08/28/2015
9929,Clinton Hill Dialysis,Diagnostic and Treatment Center Extension Clinic,DTC-EC,Service,Home Hemodialysis Training and Support,,Processing Stations,Kings,Metropolitan Area Regional Office - New York City,05/03/2016
9929,Clinton Hill Dialysis,Diagnostic and Treatment Center Extension Clinic,DTC-EC,Service,Home Peritoneal Dialysis Training and Support,,Processing Stations,Kings,Metropolitan Area Regional Office - New York City,05/03/2016
9929,Clinton Hill Dialysis,Diagnostic and Treatment Center Extension Clinic,DTC-EC,Service,Renal Dialysis - Chronic O/P,28,Processing Stations,Kings,Metropolitan Area Regional Office - New York City,05/03/2016
