Facility ID,Facility Name,Description,Short Description,Attribute Type,Attribute Value,Measure Value,Sub Type,County,Regional Office,Effective Date
9857,Outpatient Extension Clinic-White Spruce,Hospital Extension Clinic,HOSP-EC,Service,Medical Services - Primary Care,,Processing Stations,Monroe,Western Regional Office - Rochester,11/12/2015
9858,Ellis Health Services Building,Hospital Extension Clinic,HOSP-EC,Service,Medical Services - Other Medical Specialties,,Processing Stations,Schenectady,Capital District Regional Office,09/25/2015
9859,Outpatient Extension Clinic-Gates,Hospital Extension Clinic,HOSP-EC,Service,Medical Services - Other Medical Specialties,,Processing Stations,Monroe,Western Regional Office - Rochester,09/15/2023
9859,Outpatient Extension Clinic-Gates,Hospital Extension Clinic,HOSP-EC,Service,Medical Services - Primary Care,,Processing Stations,Monroe,Western Regional Office - Rochester,11/12/2015
9860,HSS Spine Therapy Center,Hospital Extension Clinic,HOSP-EC,Service,Medical Services - Other Medical Specialties,,Processing Stations,New York,Metropolitan Area Regional Office - New York City,06/01/2015
9860,HSS Spine Therapy Center,Hospital Extension Clinic,HOSP-EC,Service,Physical Medicine and Rehabilitation O/P,,Processing Stations,New York,Metropolitan Area Regional Office - New York City,11/11/2013
9860,HSS Spine Therapy Center,Hospital Extension Clinic,HOSP-EC,Service,Therapy - Physical O/P,,Processing Stations,New York,Metropolitan Area Regional Office - New York City,11/11/2013
9861,WPH Medical and Wellness,Hospital Extension Clinic,HOSP-EC,Service,Medical Services - Other Medical Specialties,,Processing Stations,Westchester,Metropolitan Area Regional Office - New Rochelle,11/17/2015
9861,WPH Medical and Wellness,Hospital Extension Clinic,HOSP-EC,Service,Medical Services - Primary Care,,Processing Stations,Westchester,Metropolitan Area Regional Office - New Rochelle,11/17/2015
9863,OMNI Surgery Center,Diagnostic and Treatment Center,DTC,Service,Ambulatory Surgery - Multi Specialty,,Processing Stations,Oneida,Central New York Regional Office,09/23/2019
9864,Eastside Internal Medicine,Hospital Extension Clinic,HOSP-EC,Service,Medical Services - Other Medical Specialties,,Processing Stations,Monroe,Western Regional Office - Rochester,05/31/2017
