node_id,fail_freq,mean_fail_time_h,p50_fail_time_h,p95_fail_time_h,name,infra_type,borough,lat,lon,flood_extreme_2080_depth_m
telecom_cluster_01050,0.238,24.0,24,24,AT&T cluster,telecom,Manhattan,40.779643,-73.964271,0.0
telecom_cluster_02983,0.237,0.0,0,0,T-Mobile cluster,telecom,Queens,40.7426,-73.78,0.2
telecom_cluster_01780,0.237,0.0,0,0,T-Mobile cluster,telecom,Staten Island,40.60785,-74.14025,0.2
telecom_cluster_01938,0.237,0.0,0,0,T-Mobile cluster,telecom,Brooklyn,40.64185,-73.988325,0.2
telecom_cluster_02495,0.235,0.0,0,0,T-Mobile cluster,telecom,Queens,40.70102,-73.91078,0.2
telecom_cluster_00151,0.234,0.0,0,0,AT&T cluster,telecom,Brooklyn,40.649675,-73.964175,0.2
telecom_cluster_01917,0.233,0.0,0,0,T-Mobile cluster,telecom,Queens,40.633483,-73.88925,0.2
telecom_cluster_01858,0.232,0.0,0,0,T-Mobile cluster,telecom,Brooklyn,40.6251,-73.9294,0.2
telecom_cluster_00943,0.232,0.0,0,0,AT&T cluster,telecom,Manhattan,40.76365,-73.99885,0.2
telecom_cluster_03013,0.231,0.0,0,0,T-Mobile cluster,telecom,Manhattan,40.751014,-73.99439,0.2
telecom_cluster_03528,0.228,0.0,0,0,T-Mobile cluster,telecom,Manhattan,40.808488,-73.94855,0.2
telecom_cluster_00783,0.226,0.0,0,0,AT&T cluster,telecom,Manhattan,40.7438,-74.00865,0.2
telecom_cluster_02549,0.226,0.0,0,0,T-Mobile cluster,telecom,Queens,40.70355,-73.81685,0.2
telecom_cluster_01779,0.224,0.0,0,0,T-Mobile cluster,telecom,Staten Island,40.60825,-74.14555,0.2
telecom_cluster_01781,0.222,0.0,0,0,T-Mobile cluster,telecom,Staten Island,40.608,-74.1339,0.2
telecom_cluster_01801,0.216,0.0,0,0,T-Mobile cluster,telecom,Brooklyn,40.60965,-73.9436,0.2
fuel_station_citgo_0598,0.081,0.0,0,0,Citgo (Citgo),fuel,Manhattan,40.700068,-73.961321,0.2
telecom_cluster_00426,0.081,48.0,48,48,AT&T cluster,telecom,Manhattan,40.700871,-73.960957,0.0
telecom_cluster_00096,0.073,48.0,48,48,AT&T cluster,telecom,Brooklyn,40.6352,-73.961736,0.0
telecom_cluster_00095,0.073,48.0,48,48,AT&T cluster,telecom,Brooklyn,40.635425,-73.962708,0.0
telecom_cluster_01879,0.073,48.0,48,48,T-Mobile cluster,telecom,Brooklyn,40.6309,-73.97595,0.0
fuel_station_speedway_0570,0.073,0.0,0,0,Speedway (Speedway),fuel,Brooklyn,40.634877,-73.967916,0.2
telecom_cluster_01911,0.073,48.0,48,48,T-Mobile cluster,telecom,Brooklyn,40.635717,-73.968983,0.0
fuel_station_unknown_gas_station_0817,0.071,1.3,0,6,Unknown Gas Station,fuel,Queens,40.705965,-73.876632,0.2
telecom_cluster_00299,0.071,48.0,48,48,AT&T cluster,telecom,Brooklyn,40.680486,-73.979686,0.0
telecom_cluster_02229,0.071,48.0,48,48,T-Mobile cluster,telecom,Brooklyn,40.674455,-73.975335,0.0
telecom_cluster_00319,0.071,48.0,48,48,AT&T cluster,telecom,Brooklyn,40.68517,-73.98997,0.0
telecom_cluster_02275,0.071,48.0,48,48,T-Mobile cluster,telecom,Brooklyn,40.680362,-73.975133,0.0
telecom_cluster_00300,0.071,48.0,48,48,AT&T cluster,telecom,Brooklyn,40.680478,-73.974722,0.0
telecom_cluster_02322,0.071,48.0,48,48,T-Mobile cluster,telecom,Brooklyn,40.685114,-73.978922,0.0
telecom_cluster_00278,0.071,48.0,48,48,AT&T cluster,telecom,Brooklyn,40.67456,-73.97468,0.0
telecom_cluster_00321,0.071,48.0,48,48,AT&T cluster,telecom,Brooklyn,40.684875,-73.979888,0.0
