node_id,name,infra_type,borough,lat,lon,external,flood_moderate_current_depth_m,flood_moderate_2050_depth_m,flood_extreme_2080_depth_m
telecom_cluster_00969,AT&T cluster,telecom,NJ (external),40.7696,-74.1583,False,0.0,0.0,0.0
telecom_cluster_00970,AT&T cluster,telecom,NJ (external),40.7719,-74.15635,False,0.0,0.0,0.0
telecom_cluster_00971,AT&T cluster,telecom,NJ (external),40.7681,-74.1086,False,0.0,0.0,0.0
telecom_cluster_00972,AT&T cluster,telecom,NJ (external),40.7718,-74.1051,False,0.0,0.0,0.0
telecom_cluster_00973,AT&T cluster,telecom,NJ (external),40.7682,-74.0945,False,0.0,0.0,0.0
telecom_cluster_00974,AT&T cluster,telecom,NJ (external),40.7705,-74.0901,False,0.0,0.0,0.0
telecom_cluster_00975,AT&T cluster,telecom,NJ (external),40.769162,-74.065038,False,0.0,0.0,0.0
telecom_cluster_00976,AT&T cluster,telecom,NJ (external),40.769517,-74.06045,False,0.0,0.0,0.0
telecom_cluster_00977,AT&T cluster,telecom,NJ (external),40.76935,-74.05605,False,0.0,0.0,0.0
telecom_cluster_00978,AT&T cluster,telecom,NJ (external),40.7697,-74.049233,False,0.0,0.0,0.0
telecom_cluster_00979,AT&T cluster,telecom,NJ (external),40.77054,-74.04504,False,0.0,0.0,0.0
telecom_cluster_00980,AT&T cluster,telecom,NJ (external),40.771264,-74.04155,False,0.0,0.0,0.0
telecom_cluster_00981,AT&T cluster,telecom,Brooklyn,40.771475,-74.029925,False,0.0,0.0,0.0
telecom_cluster_00982,AT&T cluster,telecom,Brooklyn,40.76948,-74.02524,False,0.0,0.0,0.0
telecom_cluster_00983,AT&T cluster,telecom,Brooklyn,40.7682,-74.0223,False,0.0,0.0,0.0
telecom_cluster_00984,AT&T cluster,telecom,Manhattan,40.7704,-73.99435,False,0.0,0.0,0.0
telecom_cluster_00985,AT&T cluster,telecom,Manhattan,40.76984,-73.99054,False,0.0,0.0,0.0
telecom_cluster_00986,AT&T cluster,telecom,Manhattan,40.7677,-73.9828,False,0.0,0.0,0.0
telecom_cluster_00987,AT&T cluster,telecom,Manhattan,40.768371,-73.981529,False,0.0,0.0,0.0
telecom_cluster_00988,AT&T cluster,telecom,Manhattan,40.769855,-73.974091,False,0.0,0.0,0.0
telecom_cluster_00989,AT&T cluster,telecom,Manhattan,40.7703,-73.97008,False,0.0,0.0,0.0
telecom_cluster_00990,AT&T cluster,telecom,Manhattan,40.76985,-73.964912,False,0.0,0.0,0.0
telecom_cluster_00991,AT&T cluster,telecom,Manhattan,40.768067,-73.962133,False,0.0,0.0,0.0
telecom_cluster_00992,AT&T cluster,telecom,Manhattan,40.77105,-73.95052,False,0.0,0.0,0.0
telecom_cluster_00993,AT&T cluster,telecom,Queens,40.7719,-73.9186,False,0.6,0.6,0.6
telecom_cluster_00994,AT&T cluster,telecom,Queens,40.7707,-73.91625,False,0.0,0.0,0.0
telecom_cluster_00995,AT&T cluster,telecom,Queens,40.76924,-73.91062,False,0.0,0.0,0.6
telecom_cluster_00996,AT&T cluster,telecom,Queens,40.7683,-73.9049,False,0.0,0.0,0.0
telecom_cluster_00997,AT&T cluster,telecom,Queens,40.7692,-73.882,False,0.0,0.0,0.2
telecom_cluster_00998,AT&T cluster,telecom,Queens,40.7711,-73.875,False,0.0,0.0,0.0
telecom_cluster_00999,AT&T cluster,telecom,Queens,40.7706,-73.8704,False,0.0,0.0,0.0
telecom_cluster_01000,AT&T cluster,telecom,Queens,40.7682,-73.8652,False,0.0,0.0,0.2
telecom_cluster_01001,AT&T cluster,telecom,Queens,40.7693,-73.7094,False,0.0,0.0,0.0
telecom_cluster_01002,AT&T cluster,telecom,Queens,40.769033,-73.705467,False,0.0,0.0,0.0
telecom_cluster_01003,AT&T cluster,telecom,Queens,40.768567,-73.701533,False,0.0,0.0,0.0
telecom_cluster_01004,AT&T cluster,telecom,NJ (external),40.7751,-74.2408,False,0.0,0.0,0.0
telecom_cluster_01005,AT&T cluster,telecom,NJ (external),40.7738,-74.2345,False,0.0,0.0,0.0
telecom_cluster_01006,AT&T cluster,telecom,NJ (external),40.774775,-74.203275,False,0.0,0.0,0.0
telecom_cluster_01007,AT&T cluster,telecom,NJ (external),40.776567,-74.202067,False,0.0,0.0,0.0
telecom_cluster_01008,AT&T cluster,telecom,NJ (external),40.7735,-74.1551,False,0.0,0.0,0.0
telecom_cluster_01009,AT&T cluster,telecom,NJ (external),40.7761,-74.152,False,0.0,0.0,0.0
telecom_cluster_01010,AT&T cluster,telecom,NJ (external),40.7736,-74.10345,False,0.0,0.0,0.0
telecom_cluster_01011,AT&T cluster,telecom,NJ (external),40.7767,-74.10085,False,0.0,0.0,0.0
telecom_cluster_01012,AT&T cluster,telecom,NJ (external),40.7752,-74.0957,False,0.0,0.0,0.0
telecom_cluster_01013,AT&T cluster,telecom,NJ (external),40.77545,-74.0643,False,0.0,0.0,0.0
telecom_cluster_01014,AT&T cluster,telecom,NJ (external),40.774567,-74.06055,False,0.0,0.0,0.0
telecom_cluster_01015,AT&T cluster,telecom,NJ (external),40.7742,-74.05475,False,0.0,0.0,0.0
telecom_cluster_01016,AT&T cluster,telecom,NJ (external),40.7726,-74.048,False,0.0,0.0,0.0
telecom_cluster_01017,AT&T cluster,telecom,NJ (external),40.776425,-74.0456,False,0.0,0.0,0.0
telecom_cluster_01018,AT&T cluster,telecom,NJ (external),40.7763,-74.04102,False,0.0,0.0,0.0
telecom_cluster_01019,AT&T cluster,telecom,NJ (external),40.773725,-74.0351,False,0.0,0.0,0.0
telecom_cluster_01020,AT&T cluster,telecom,Manhattan,40.7741,-73.9925,False,0.0,0.0,0.0
telecom_cluster_01021,AT&T cluster,telecom,Manhattan,40.77525,-73.9892,False,0.0,0.0,0.0
telecom_cluster_01022,AT&T cluster,telecom,Manhattan,40.77472,-73.98058,False,0.0,0.0,0.0
telecom_cluster_01023,AT&T cluster,telecom,Manhattan,40.7739,-73.9731,False,0.0,0.0,0.0
telecom_cluster_01024,AT&T cluster,telecom,Manhattan,40.77461,-73.97056,False,0.0,0.0,0.0
telecom_cluster_01025,AT&T cluster,telecom,Manhattan,40.774559,-73.964835,False,0.0,0.0,0.0
telecom_cluster_01026,AT&T cluster,telecom,Manhattan,40.775375,-73.960875,False,0.0,0.0,0.0
telecom_cluster_01027,AT&T cluster,telecom,Manhattan,40.7739,-73.9509,False,0.0,0.0,0.0
telecom_cluster_01028,AT&T cluster,telecom,Manhattan,40.7749,-73.94505,False,0.0,0.0,0.0
telecom_cluster_01029,AT&T cluster,telecom,Queens,40.7748,-73.9207,False,0.0,0.0,0.0
telecom_cluster_01030,AT&T cluster,telecom,Queens,40.7746,-73.9142,False,0.0,0.0,0.0
telecom_cluster_01031,AT&T cluster,telecom,Queens,40.7765,-73.8343,False,0.0,0.0,0.0
telecom_cluster_01032,AT&T cluster,telecom,NJ (external),40.7817,-74.244225,False,0.0,0.0,0.0
telecom_cluster_01033,AT&T cluster,telecom,NJ (external),40.781925,-74.2009,False,0.0,0.0,0.0
telecom_cluster_01034,AT&T cluster,telecom,NJ (external),40.7822,-74.1542,False,0.0,0.0,0.0
telecom_cluster_01035,AT&T cluster,telecom,NJ (external),40.78135,-74.14935,False,0.0,0.0,0.0
telecom_cluster_01036,AT&T cluster,telecom,NJ (external),40.7788,-74.099,False,0.0,0.0,0.0
telecom_cluster_01037,AT&T cluster,telecom,NJ (external),40.7792,-74.09735,False,0.0,0.0,0.0
telecom_cluster_01038,AT&T cluster,telecom,NJ (external),40.7813,-74.0694,False,0.0,0.0,0.0
telecom_cluster_01039,AT&T cluster,telecom,NJ (external),40.7803,-74.0673,False,0.0,0.0,0.0
telecom_cluster_01040,AT&T cluster,telecom,NJ (external),40.7777,-74.0582,False,0.0,0.0,0.0
telecom_cluster_01041,AT&T cluster,telecom,NJ (external),40.7797,-74.055,False,0.0,0.0,0.0
telecom_cluster_01042,AT&T cluster,telecom,NJ (external),40.7789,-74.049625,False,0.0,0.0,0.0
telecom_cluster_01043,AT&T cluster,telecom,NJ (external),40.780125,-74.04415,False,0.0,0.0,0.0
telecom_cluster_01044,AT&T cluster,telecom,NJ (external),40.780367,-74.041233,False,0.0,0.0,0.0
telecom_cluster_01045,AT&T cluster,telecom,NJ (external),40.7822,-74.035,False,0.0,0.0,0.0
telecom_cluster_01046,AT&T cluster,telecom,Manhattan,40.7784,-73.9894,False,0.0,0.0,0.0
telecom_cluster_01047,AT&T cluster,telecom,Manhattan,40.780567,-73.985433,False,0.0,0.0,0.0
telecom_cluster_01048,AT&T cluster,telecom,Manhattan,40.7818,-73.981,False,0.0,0.0,0.0
telecom_cluster_01049,AT&T cluster,telecom,Manhattan,40.780333,-73.969733,False,0.0,0.0,0.0
telecom_cluster_01050,AT&T cluster,telecom,Manhattan,40.779643,-73.964271,False,0.0,0.0,0.0
telecom_cluster_01051,AT&T cluster,telecom,Manhattan,40.78215,-73.9594,False,0.0,0.0,0.0
telecom_cluster_01052,AT&T cluster,telecom,Manhattan,40.78118,-73.9545,False,0.0,0.0,0.0
telecom_cluster_01053,AT&T cluster,telecom,Manhattan,40.77925,-73.949767,False,0.0,0.0,0.0
telecom_cluster_01054,AT&T cluster,telecom,Manhattan,40.779791,-73.945909,False,0.0,0.0,0.0
telecom_cluster_01055,AT&T cluster,telecom,Manhattan,40.7811,-73.9421,False,0.0,0.0,0.0
telecom_cluster_01056,AT&T cluster,telecom,Manhattan,40.7785,-73.9348,False,0.0,0.0,0.0
telecom_cluster_01057,AT&T cluster,telecom,Queens,40.7805,-73.9283,False,0.0,0.0,0.0
telecom_cluster_01058,AT&T cluster,telecom,Queens,40.7819,-73.9272,False,0.0,0.0,0.0
telecom_cluster_01059,AT&T cluster,telecom,Queens,40.7791,-73.9127,False,0.0,0.0,0.0
telecom_cluster_01060,AT&T cluster,telecom,NJ (external),40.7861,-74.248,False,0.0,0.0,0.0
telecom_cluster_01061,AT&T cluster,telecom,NJ (external),40.7828,-74.2452,False,0.0,0.0,0.0
telecom_cluster_01062,AT&T cluster,telecom,NJ (external),40.78488,-74.19972,False,0.0,0.0,0.0
telecom_cluster_01063,AT&T cluster,telecom,NJ (external),40.7872,-74.1704,False,0.0,0.0,0.0
telecom_cluster_01064,AT&T cluster,telecom,NJ (external),40.7862,-74.1655,False,0.0,0.0,0.0
telecom_cluster_01065,AT&T cluster,telecom,NJ (external),40.78425,-74.16025,False,0.0,0.0,0.0
telecom_cluster_01066,AT&T cluster,telecom,NJ (external),40.784967,-74.093133,False,0.0,0.0,0.0
telecom_cluster_01067,AT&T cluster,telecom,NJ (external),40.7857,-74.092167,False,0.0,0.0,0.0
telecom_cluster_01068,AT&T cluster,telecom,NJ (external),40.7831,-74.0732,False,0.0,0.0,0.0
telecom_cluster_01069,AT&T cluster,telecom,NJ (external),40.7874,-74.0575,False,0.0,0.0,0.0
telecom_cluster_01070,AT&T cluster,telecom,NJ (external),40.78565,-74.05445,False,0.0,0.0,0.0
telecom_cluster_01071,AT&T cluster,telecom,NJ (external),40.784633,-74.0481,False,0.0,0.0,0.0
telecom_cluster_01072,AT&T cluster,telecom,NJ (external),40.78385,-74.0465,False,0.0,0.0,0.0
telecom_cluster_01073,AT&T cluster,telecom,NJ (external),40.78622,-74.03146,False,0.0,0.0,0.0
telecom_cluster_01074,AT&T cluster,telecom,Manhattan,40.7854,-73.9841,False,0.0,0.0,0.0
telecom_cluster_01075,AT&T cluster,telecom,Manhattan,40.7857,-73.97906,False,0.0,0.0,0.0
telecom_cluster_01076,AT&T cluster,telecom,Manhattan,40.787133,-73.974067,False,0.0,0.0,0.0
telecom_cluster_01077,AT&T cluster,telecom,Manhattan,40.78575,-73.970067,False,0.0,0.0,0.0
telecom_cluster_01078,AT&T cluster,telecom,Manhattan,40.7841,-73.96555,False,0.0,0.0,0.0
telecom_cluster_01079,AT&T cluster,telecom,Manhattan,40.783025,-73.959625,False,0.0,0.0,0.0
telecom_cluster_01080,AT&T cluster,telecom,Manhattan,40.7829,-73.9573,False,0.0,0.0,0.0
telecom_cluster_01081,AT&T cluster,telecom,Manhattan,40.783,-73.9476,False,0.0,0.0,0.0
telecom_cluster_01082,AT&T cluster,telecom,Manhattan,40.7831,-73.9434,False,0.0,0.0,0.0
telecom_cluster_01083,AT&T cluster,telecom,Manhattan,40.784033,-73.9415,False,0.0,0.0,0.0
telecom_cluster_01084,AT&T cluster,telecom,NJ (external),40.7912,-74.2534,False,0.0,0.0,0.0
telecom_cluster_01085,AT&T cluster,telecom,NJ (external),40.790171,-74.248914,False,0.0,0.0,0.0
