node_id,fail_freq,mean_fail_time_h,p50_fail_time_h,p95_fail_time_h,name,infra_type,lat,lon,borough,flood_sandy_depth_m
telecom_cluster_0136,1.0,0.0,0,0,T-Mobile cluster,telecom,40.7154,-73.999533,Manhattan,1.962
subway_14_st_123,1.0,0.0,0,0,14 St,subway,40.737826,-74.000201,Manhattan,0.81
telecom_cluster_0209,1.0,6.2,6,6,T-Mobile cluster,telecom,40.750914,-73.979778,Manhattan,0.0
telecom_cluster_0216,1.0,6.2,6,6,T-Mobile cluster,telecom,40.753738,-73.985055,Manhattan,0.0
telecom_cluster_0219,1.0,6.2,6,6,T-Mobile cluster,telecom,40.753891,-73.971136,Manhattan,0.0
subway_times_sq_42_st_nqrw,1.0,6.0,6,6,Times Sq-42 St,subway,40.754672,-73.986754,Manhattan,0.0
telecom_cluster_0100,1.0,6.2,6,6,AT&T cluster,telecom,40.753843,-73.980557,Manhattan,0.0
power_cherry_street,1.0,6.0,6,6,Cherry Street,power,40.71137,-73.990686,Manhattan,0.0
subway_grand_central_42_st_456,1.0,6.0,6,6,Grand Central-42 St,subway,40.751776,-73.976848,Manhattan,0.0
telecom_cluster_0210,1.0,6.2,6,6,T-Mobile cluster,telecom,40.751128,-73.975495,Manhattan,0.0
telecom_cluster_0094,1.0,6.2,6,6,AT&T cluster,telecom,40.751175,-73.976575,Manhattan,0.0
subway_fulton_st_45,1.0,6.1,6,6,Fulton St,subway,40.710368,-74.009509,Manhattan,0.0
telecom_cluster_0101,1.0,6.2,6,6,AT&T cluster,telecom,40.752975,-73.97525,Manhattan,0.0
telecom_cluster_0211,1.0,6.2,6,6,T-Mobile cluster,telecom,40.749371,-73.970943,Manhattan,0.0
hospital_mount_sinai_beth_israel,1.0,5.9,0,24,Mount Sinai Beth Israel,hospital,40.732666,-73.981598,Manhattan,0.852
subway_astor_pl_6,1.0,0.0,0,0,Astor Pl,subway,40.730054,-73.99107,Manhattan,0.852
telecom_cluster_0117,1.0,24.0,24,24,T-Mobile cluster,telecom,40.705083,-73.994083,Manhattan,0.0
telecom_cluster_0019,1.0,24.0,24,24,AT&T cluster,telecom,40.711017,-73.993817,Manhattan,0.0
telecom_cluster_0106,1.0,24.0,24,24,T-Mobile cluster,telecom,40.7017,-74.0045,Manhattan,0.0
hospital_new_york_presbyterian_lower_ma,1.0,24.1,24,24,New York-Presbyterian/Lower Manhattan Hospital,hospital,40.710293,-74.004951,Manhattan,0.0
telecom_cluster_0221,1.0,24.0,24,24,T-Mobile Metro cluster,telecom,40.71365,-73.99415,Manhattan,0.0
telecom_cluster_0002,1.0,24.0,24,24,AT&T cluster,telecom,40.7008,-74.0044,Manhattan,0.0
hospital_nyu_langone_orthopedic_hospita,1.0,22.0,24,24,Nyu Langone Orthopedic Hospital,hospital,40.734389,-73.982971,Manhattan,0.331
telecom_cluster_0029,1.0,24.0,24,24,AT&T cluster,telecom,40.713327,-73.994032,Manhattan,0.0
telecom_cluster_0137,1.0,24.0,24,24,T-Mobile cluster,telecom,40.714264,-73.994209,Manhattan,0.0
hospital_new_york_eye_and_ear_infirmary,1.0,5.3,0,24,New York Eye And Ear Infirmary Of Mount Sinai,hospital,40.731875,-73.984599,Manhattan,0.852
telecom_cluster_0140,1.0,24.0,24,24,T-Mobile cluster,telecom,40.714371,-73.979786,Manhattan,0.0
subway_east_broadway_f,1.0,6.0,6,6,East Broadway,subway,40.713715,-73.990173,Manhattan,0.0
telecom_cluster_0093,1.0,6.2,6,6,AT&T cluster,telecom,40.7522,-73.9801,Manhattan,0.0
fuel_terminal_bronx_terminal_hunts_point,1.0,6.2,6,6,Bronx Terminal (Hunts Point),fuel,40.81,-73.88,Manhattan,0.0
subway_grand_central_42_st_s,1.0,6.0,6,6,Grand Central-42 St,subway,40.752769,-73.979189,Manhattan,0.0
hospital_mount_sinai____behavioral_heal,1.0,2.6,0,24,Mount Sinai -  Behavioral Health Center,hospital,40.72068,-73.991197,Manhattan,1.175
subway_broadway_lafayette_st_bdfm,1.0,0.0,0,0,Broadway-Lafayette St,subway,40.725297,-73.996204,Manhattan,1.962
telecom_cluster_0060,1.0,0.3,0,0,AT&T cluster,telecom,40.73025,-73.9751,Manhattan,0.852
water_grand_canal_court_park,1.0,0.0,0,0,Grand Canal Court Park,water,40.722303,-74.00504,Manhattan,1.962
subway_canal_st_nq,1.0,0.0,0,0,Canal St,subway,40.718383,-74.00046,Manhattan,1.962
subway_rector_st_1,1.0,0.0,0,0,Rector St,subway,40.707513,-74.013783,Manhattan,1.962
telecom_cluster_0157,1.0,0.0,0,0,T-Mobile cluster,telecom,40.724644,-74.000233,Manhattan,1.962
telecom_cluster_0126,1.0,0.0,0,0,T-Mobile cluster,telecom,40.710119,-73.99385,Manhattan,1.962
subway_canal_st_6,1.0,0.0,0,0,Canal St,subway,40.718803,-74.000193,Manhattan,1.962
telecom_cluster_0218,1.0,6.2,6,6,T-Mobile cluster,telecom,40.754076,-73.974835,Manhattan,0.0
subway_fulton_st_ac,1.0,6.1,6,6,Fulton St,subway,40.710197,-74.007691,Manhattan,0.0
subway_world_trade_center_e,1.0,6.1,6,6,World Trade Center,subway,40.712582,-74.009781,Manhattan,0.0
telecom_cluster_0217,1.0,6.2,6,6,T-Mobile cluster,telecom,40.753419,-73.980565,Manhattan,0.0
subway_fulton_st_23,1.0,6.1,6,6,Fulton St,subway,40.709416,-74.006571,Manhattan,0.0
telecom_cluster_0102,1.0,6.2,6,6,AT&T cluster,telecom,40.7528,-73.9709,Manhattan,0.0
subway_42_st_bryant_pk_bdfm,1.0,6.0,6,6,42 St-Bryant Pk,subway,40.754222,-73.984569,Manhattan,0.0
subway_5_av_7,1.0,6.0,6,6,5 Av,subway,40.753821,-73.981963,Manhattan,0.0
telecom_cluster_0163,1.0,0.4,0,0,T-Mobile cluster,telecom,40.726367,-73.9718,Manhattan,0.852
telecom_cluster_0086,1.0,6.2,6,6,AT&T cluster,telecom,40.744367,-73.971033,Manhattan,0.0
subway_fulton_st_jz,1.0,6.1,6,6,Fulton St,subway,40.710374,-74.007582,Manhattan,0.0
telecom_cluster_0179,1.0,3.2,0,6,T-Mobile cluster,telecom,40.734733,-73.984944,Manhattan,0.331
telecom_cluster_0099,1.0,6.2,6,6,AT&T cluster,telecom,40.753895,-73.985721,Manhattan,0.0
subway_grand_central_42_st_7,1.0,6.0,6,6,Grand Central-42 St,subway,40.751431,-73.976041,Manhattan,0.0
