scenario,n_runs,loss_legacy,cascade_pr_t6_legacy,pr_t6_legacy,cascade_auc_t6_legacy,cascade_pr_t24_legacy,pr_t24_legacy,cascade_auc_t24_legacy,cascade_pr_t48_legacy,pr_t48_legacy,cascade_auc_t48_legacy,cascade_pr_t96_legacy,pr_t96_legacy,cascade_auc_t96_legacy,loss_jesse,cascade_pr_t6_jesse,pr_t6_jesse,cascade_auc_t6_jesse,cascade_pr_t24_jesse,pr_t24_jesse,cascade_auc_t24_jesse,cascade_pr_t48_jesse,pr_t48_jesse,cascade_auc_t48_jesse,cascade_pr_t96_jesse,pr_t96_jesse,cascade_auc_t96_jesse,loss_ratio_jesse_over_legacy,cascade_pr_t6_delta_pp,cascade_pr_t24_delta_pp,cascade_pr_t48_delta_pp,cascade_pr_t96_delta_pp,cascade_pr_mean_legacy,cascade_pr_mean_jesse
geoclaw_2050,1000,0.14061130949482323,0.9549198446396678,0.9850326850996193,0.996314239680767,0.9828579596664768,0.989968887730358,0.9965606897473335,0.9594318675960217,0.9735710278781339,0.9885827575922013,0.9812488783067758,0.9864068857249941,0.9925700815320015,0.18070214740963034,0.9561806829261893,0.9851489065073067,0.9955916699171067,0.9681376720634498,0.9792608027948522,0.989089344739914,0.9407918480203827,0.9607031409284306,0.9794869520664216,0.9692913039398927,0.9771098291989511,0.984423538684845,1.2851181605437156,0.12608382865214596,-1.4720287603027016,-1.8640019575638989,-1.195757436688305,0.9696146375522355,0.9586003767374787
syn_ts_914_6_1p2955,1000,0.08547624642821029,0.967086628457219,0.9917504886689013,0.9994069949984551,0.8631580313462487,0.9361252422420007,0.9908847403526306,0.8582233059767055,0.9261912743434092,0.9891335412859916,0.8556667675600752,0.9169020923061336,0.9811588389873505,0.09000014424789697,0.9690846645396373,0.9920724737355421,0.9992501530051231,0.850797595207817,0.929561311618728,0.9885662116408348,0.8549643264984564,0.9246580892421131,0.9881535775661469,0.844842631868046,0.9115735014890601,0.9787509543299675,1.0529257894295372,0.19980360824182197,-1.236043613843174,-0.32589794782490467,-1.0824135692029224,0.8860336833350622,0.8799223045284892
syn_ts_258_9_3p0022,1000,0.12480100329002987,0.9656602360509327,0.9901190412247102,0.9971718401312828,0.9811786506039547,0.9902001418737361,0.9964213719367981,0.9548106447866052,0.9737824739843636,0.988457731962204,0.9780555839842126,0.9853264795582569,0.9918468409180641,0.14912930276663974,0.9708817188525363,0.9923256805165003,0.997346491754055,0.9688226087310199,0.9826402181157986,0.9918759832382202,0.9446263696151802,0.9672538947076,0.9832530483603478,0.9709803670041773,0.9798957974042894,0.9861383886933327,1.194936729956188,0.5221482801603616,-1.235604187293482,-1.018427517142495,-0.7075216980035215,0.9699262788564262,0.9638277660507284
syn_ts_605_5_3p7563,1000,0.20517337671077499,0.933377533283429,0.9794677276556103,0.9869984681010247,0.9748313102615351,0.988304508732701,0.991062736928463,0.9685660701918973,0.9836006237993334,0.9865641714334488,0.9876388670305496,0.9928301471116184,0.9928686008453369,0.3441220669380079,0.8838429444008771,0.9713684846361241,0.9788512088656426,0.9210849484450253,0.9600009537502037,0.9649335755705833,0.9093242994184397,0.9517912523178939,0.9563997178673744,0.9465182782106724,0.9661175637095272,0.9526031667590141,1.6772257319871648,-4.9534588882551915,-5.374636181650983,-5.92417707734576,-4.112058881987723,0.9661034451918528,0.9151926176187536
syn_ts_808_27_3p7885,1000,0.14003767004360756,0.9545466354758986,0.9867422813382238,0.9947631730437279,0.9776343580034739,0.9889305341082835,0.9947541260719299,0.9625436232733889,0.9789755643265907,0.9882608246207237,0.9837156361434242,0.9896860528082464,0.9930463410615921,0.20717095474681504,0.9567850238598778,0.9894651281637538,0.994959682226181,0.9516647535856765,0.973563972972364,0.9840398540496826,0.9261353676714826,0.95716527562632,0.9706806438565254,0.9565417825514584,0.9699579781820434,0.9669989749193192,1.4793944706613746,0.2238388383979273,-2.5969604417797387,-3.6408255601906303,-2.717385359196578,0.9696100632240464,0.9477817319171238
