arm,n,t360_mean,t360_sd,super_share,contained_mean,t0_mean,crash_ge1000,crash_ge1200,crash_ge1500
S3,100,2549.65,625.7328243747486,0.16,2280.1190476190477,276.45,100,100,100
U3,100,2690.96,710.4430155895686,0.23,2305.4285714285716,1050.95,100,100,100
S1,100,2720.4,745.2174581959282,0.26,2280.9594594594596,276.45,100,100,100
U1,100,2853.49,807.8321421557822,0.34,2274.909090909091,1064.38,100,100,100

pair,n,delta_mean,delta_sd,up,down,same
U3 - S3,100,141.31,434.82867189273526,95,5,0
U1 - S1,100,133.09,409.2641224197401,78,21,1
S1 - S3,100,170.75,497.5013844201843,76,21,3
U1 - U3,100,162.53,466.99587696252735,51,41,8
