scenario,n_runs,seeds_identical,static_total_mean,static_total_sd,dynamic_total_mean,dynamic_total_sd,paired_delta_mean,paired_delta_sd,runs_dynamic_larger,runs_dynamic_smaller,ks_totals,static_t0,dynamic_t0,delta_t0,static_t6,dynamic_t6,delta_t6,static_t24,dynamic_t24,delta_t24,static_t48,dynamic_t48,delta_t48,static_t96,dynamic_t96,delta_t96,crash_frac_static_1000,crash_frac_dynamic_1000,crash_frac_static_1200,crash_frac_dynamic_1200,crash_frac_static_1500,crash_frac_dynamic_1500,node_runs_fail_both,frac_earlier,frac_later,frac_same,node_runs_only_dynamic,node_runs_only_static,median_shift_h,mean_prepeak_failures_dynamic,cause_flood_static,cause_flood_dynamic,cause_inter_static,cause_inter_dynamic,cause_intra_subway_static,cause_intra_subway_dynamic,cause_intra_telecom_static,cause_intra_telecom_dynamic,cause_intra_water_static,cause_intra_water_dynamic,t_peak_h,cause_intra_fuel_static,cause_intra_fuel_dynamic
syn_ts_914_6_1p2955,100,True,309.68,44.76915902716959,317.27,43.38406504697318,7.59,13.174289354648318,97,2,0.16000000000000003,91.5,175.33,83.83,190.0,209.11,19.11,257.34,275.52,18.18,289.37,298.2,8.83,309.68,317.27,7.59,0.0,0.0,0.0,0.0,0.0,0.0,30860,0.6429358392741413,0.0002592352559948153,0.3568049254698639,867,108,-3.0,100.51,91.5,91.39,133.38,132.77,40.31,40.56,32.05,39.99,12.44,12.56,8.7,,
syn_ts_880_9_2p6632,100,True,1981.55,118.7942233444034,2217.37,194.15198453788722,235.82,143.8933202063251,100,0,0.61,276.45,996.66,720.21,583.49,1196.22,612.73,1073.86,1433.46,359.6,1224.6,1830.85,606.25,1981.55,2217.37,235.82,1.0,1.0,1.0,1.0,1.0,1.0,196341,0.7961556679450548,0.0016552834099856882,0.20218904864495954,25396,1814,-24.0,819.48,276.45,257.87,870.86,1021.15,31.38,71.33,481.5,528.25,28.19,35.57,25.1,293.17,303.2
syn_ts_605_5_3p7563,100,True,2554.03,114.4413784432886,3735.18,161.0750371721205,1181.15,175.5995657739506,100,0,0.98,611.7,2208.23,1596.53,1361.57,2427.82,1066.25,1795.57,3057.62,1262.05,2129.53,3245.43,1115.9,2554.03,3735.18,1181.15,1.0,1.0,1.0,1.0,1.0,1.0,254748,0.9827005511328842,0.0026967827029064015,0.014602666164209336,118770,655,-35.0,1778.2,611.7,430.84,1149.36,1617.25,10.99,54.71,514.03,900.5,22.67,33.33,58.9,245.28,698.55
