scenario,n_runs,seeds_identical,totals_at,static_total_mean,static_total_sd,dynamic_total_mean,dynamic_total_sd,paired_delta_mean,paired_delta_sd,runs_dynamic_larger,runs_dynamic_smaller,ks_totals,static_t0,dynamic_t0,delta_t0,static_t6,dynamic_t6,delta_t6,static_t24,dynamic_t24,delta_t24,static_t48,dynamic_t48,delta_t48,static_t96,dynamic_t96,delta_t96,static_t144,dynamic_t144,delta_t144,static_t240,dynamic_t240,delta_t240,static_t360,dynamic_t360,delta_t360,crash_frac_static_1000,crash_frac_dynamic_1000,crash_frac_static_1200,crash_frac_dynamic_1200,crash_frac_static_1500,crash_frac_dynamic_1500,node_runs_fail_both,frac_earlier,frac_later,frac_same,node_runs_only_dynamic,node_runs_only_static,median_shift_h,mean_prepeak_failures_dynamic,cause_flood_static,cause_flood_dynamic,cause_inter_static,cause_inter_dynamic,cause_intra_subway_static,cause_intra_subway_dynamic,cause_intra_telecom_static,cause_intra_telecom_dynamic,cause_intra_water_static,cause_intra_water_dynamic,type_fuel_static,type_fuel_dynamic,type_fuel_delta,type_hospital_static,type_hospital_dynamic,type_hospital_delta,type_power_static,type_power_dynamic,type_power_delta,type_subway_static,type_subway_dynamic,type_subway_delta,type_telecom_static,type_telecom_dynamic,type_telecom_delta,type_water_static,type_water_dynamic,type_water_delta,t_peak_h,cause_intra_fuel_static,cause_intra_fuel_dynamic
syn_ts_914_6_1p2955,100,True,t360,337.0,53.555578607648336,340.34,55.16125814373708,3.34,5.5501711685316515,60,31,0.08999999999999997,175.33,194.03,18.7,209.11,248.37,39.26,275.52,284.0,8.48,298.2,306.85,8.65,317.27,324.71,7.44,329.17,335.6,6.43,335.73,339.67,3.94,337.0,340.34,3.34,0.0,0.0,0.0,0.0,0.0,0.0,33415,0.6047583420619482,0.0005386802334281011,0.39470297770462365,619,285,-3.0,169.73,91.39,91.5,149.55,146.36,41.57,41.49,41.29,47.9,13.2,13.09,33.84,33.84,0.0,17.55,17.55,0.0,5.31,5.31,0.0,65.56,65.48,-0.08,194.85,198.27,3.42,19.89,19.89,0.0,8.7,,
syn_ts_880_9_2p6632,100,True,t360,2388.71,288.9123152446084,2691.76,692.7684767655064,303.05,608.8398044641957,82,14,0.22999999999999998,996.66,1100.01,103.35,1196.22,1267.68,71.46,1433.46,1557.23,123.77,1830.85,2050.48,219.63,2217.37,2415.0,197.63,2312.68,2584.0,271.32,2384.04,2665.94,281.9,2388.71,2691.76,303.05,1.0,1.0,1.0,1.0,1.0,1.0,237063,0.39677638433665313,0.013371972851098653,0.5898516428122482,32113,1808,0.0,932.88,257.87,251.98,1145.91,1283.55,71.35,61.79,574.14,643.76,36.24,35.49,425.33,521.64,96.31,46.11,48.42,2.31,44.66,49.06,4.4,317.92,343.37,25.45,1479.7,1644.71,165.01,74.99,84.56,9.57,25.1,303.2,415.19
syn_ts_605_5_3p7563,100,True,t360,4032.6,192.62185753439303,4038.76,190.80640031193923,6.16,22.046187879086943,25,38,0.09000000000000008,2208.23,2326.92,118.69,2427.82,2545.78,117.96,3057.62,3122.18,64.56,3245.43,3326.91,81.48,3735.18,3768.78,33.6,3875.8,3895.76,19.96,4013.86,4017.93,4.07,4032.6,4038.76,6.16,1.0,1.0,1.0,1.0,1.0,1.0,402898,0.3366410356963797,0.007245009903250947,0.6561139544003693,978,362,0.0,1913.69,430.84,447.78,1868.34,1893.55,54.71,39.43,946.83,942.55,33.33,33.58,891.22,891.36,0.14,58.76,58.76,0.0,81.49,81.55,0.06,442.76,442.6,-0.16,2432.51,2438.63,6.12,125.86,125.86,0.0,58.9,698.55,681.87
