arm=dynamic_mask  head=hazard  labels=/scratch/tj2587/results/dynamic_v1/arrival_h360  timing=unset  ckpt=/scratch/tj2587/results/gnn_hazard_v1/dynamic_mask  smoke=0
[gate] CUDA OK: NVIDIA L40S
[gate] heterodata data/graph/nyc_infra_heterodata_v1_frozen_failover_edges.pt: {'power': 203, 'telecom': 4150, 'hospital': 61, 'subway': 493, 'water': 137, 'fuel': 1187} total=6231 -> OK
[gate] /scratch/tj2587/results/dynamic_v1/arrival_h360 cascade_results files: 23 (need 23)
[gate] head switch present: ('independent', 'hazard')
=== TRAIN MODE — full training ===
Train: 13600  Val: 3400  (17 scenarios) | Test held-out: ['geoclaw_2050', 'syn_ts_914_6_1p2955', 'syn_ts_258_9_3p0022', 'syn_ts_605_5_3p7563', 'syn_ts_808_27_3p7885'] (5000 runs)
Model parameters: 695,960  head=hazard
Device: cuda
  Ep00 step 12100/13600: loss = 0.16758
  Ep00 step 12200/13600: loss = 0.18161
  Ep00 step 12300/13600: loss = 0.17060
  Ep00 step 12400/13600: loss = 0.17289
  Ep00 step 12500/13600: loss = 0.16326
  Ep00 step 12600/13600: loss = 0.18211
  Ep00 step 12700/13600: loss = 0.16901
  Ep00 step 12800/13600: loss = 0.16941
  Ep00 step 12900/13600: loss = 0.17942
  Ep00 step 13000/13600: loss = 0.16303
  Ep00 step 13100/13600: loss = 0.16581
  Ep00 step 13200/13600: loss = 0.17327
  Ep00 step 13300/13600: loss = 0.18356
  Ep00 step 13400/13600: loss = 0.16261
  Ep00 step 13500/13600: loss = 0.16260
  Ep00 step 13600/13600: loss = 0.17198

Epoch 00/6 | train=0.18750 val=0.19936 | AUC=['0.991', '0.985', '0.980', '0.980'] PR=['0.945', '0.938', '0.930', '0.939'] | CASCADE-only AUC=['0.987', '0.979', '0.974', '0.974'] PR=['0.878', '0.885', '0.880', '0.901'] | mono_viol=0.00000 | 919s

  [checkpoint] best.pt updated (epoch 0, val_loss=0.19936)
  Ep01 step  100/13600: loss = 0.17219
  Ep01 step  200/13600: loss = 0.16859
  Ep01 step  300/13600: loss = 0.18311
  Ep01 step  400/13600: loss = 0.17582
  Ep01 step  500/13600: loss = 0.14928
  Ep01 step  600/13600: loss = 0.17612
  Ep01 step  700/13600: loss = 0.16271
  Ep01 step  800/13600: loss = 0.17514
  Ep01 step  900/13600: loss = 0.17711
  Ep01 step 1000/13600: loss = 0.15187
  Ep01 step 1100/13600: loss = 0.17555
  Ep01 step 1200/13600: loss = 0.17939
  Ep01 step 1300/13600: loss = 0.17048
  Ep01 step 1400/13600: loss = 0.17401
  Ep01 step 1500/13600: loss = 0.17819
  Ep01 step 1600/13600: loss = 0.16884
  Ep01 step 1700/13600: loss = 0.16217
  Ep01 step 1800/13600: loss = 0.18536
  Ep01 step 1900/13600: loss = 0.17649
  Ep01 step 2000/13600: loss = 0.17829
  Ep01 step 2100/13600: loss = 0.16589
  Ep01 step 2200/13600: loss = 0.17835
  Ep01 step 2300/13600: loss = 0.16224
  Ep01 step 2400/13600: loss = 0.17010
  Ep01 step 2500/13600: loss = 0.17690
  Ep01 step 2600/13600: loss = 0.16862
  Ep01 step 2700/13600: loss = 0.17049
  Ep01 step 2800/13600: loss = 0.18284
  Ep01 step 2900/13600: loss = 0.15536
  Ep01 step 3000/13600: loss = 0.16714
  Ep01 step 3100/13600: loss = 0.15916
  Ep01 step 3200/13600: loss = 0.16494
  Ep01 step 3300/13600: loss = 0.17012
  Ep01 step 3400/13600: loss = 0.17751
  Ep01 step 3500/13600: loss = 0.17113
  Ep01 step 3600/13600: loss = 0.17723
  Ep01 step 3700/13600: loss = 0.16894
  Ep01 step 3800/13600: loss = 0.18441
  Ep01 step 3900/13600: loss = 0.17346
  Ep01 step 4000/13600: loss = 0.16707
  Ep01 step 4100/13600: loss = 0.16708
  Ep01 step 4200/13600: loss = 0.17700
  Ep01 step 4300/13600: loss = 0.15913
  Ep01 step 4400/13600: loss = 0.17789
  Ep01 step 4500/13600: loss = 0.16100
  Ep01 step 4600/13600: loss = 0.16384
  Ep01 step 4700/13600: loss = 0.17078
  Ep01 step 4800/13600: loss = 0.16617
  Ep01 step 4900/13600: loss = 0.16935
  Ep01 step 5000/13600: loss = 0.15375
  Ep01 step 5100/13600: loss = 0.17137
  Ep01 step 5200/13600: loss = 0.16220
  Ep01 step 5300/13600: loss = 0.16788
  Ep01 step 5400/13600: loss = 0.15818
  Ep01 step 5500/13600: loss = 0.15639
  Ep01 step 5600/13600: loss = 0.16798
  Ep01 step 5700/13600: loss = 0.16374
  Ep01 step 5800/13600: loss = 0.16457
  Ep01 step 5900/13600: loss = 0.16313
  Ep01 step 6000/13600: loss = 0.16913
  Ep01 step 6100/13600: loss = 0.16805
  Ep01 step 6200/13600: loss = 0.16148
  Ep01 step 6300/13600: loss = 0.17853
  Ep01 step 6400/13600: loss = 0.16415
  Ep01 step 6500/13600: loss = 0.17828
  Ep01 step 6600/13600: loss = 0.17652
  Ep01 step 6700/13600: loss = 0.16794
  Ep01 step 6800/13600: loss = 0.15710
  Ep01 step 6900/13600: loss = 0.17723
  Ep01 step 7000/13600: loss = 0.17520
  Ep01 step 7100/13600: loss = 0.17310
  Ep01 step 7200/13600: loss = 0.15348
  Ep01 step 7300/13600: loss = 0.15816
  Ep01 step 7400/13600: loss = 0.15666
  Ep01 step 7500/13600: loss = 0.17823
  Ep01 step 7600/13600: loss = 0.16388
  Ep01 step 7700/13600: loss = 0.17160
  Ep01 step 7800/13600: loss = 0.17549
  Ep01 step 7900/13600: loss = 0.16315
  Ep01 step 8000/13600: loss = 0.16768
  Ep01 step 8100/13600: loss = 0.17433
  Ep01 step 8200/13600: loss = 0.16274
  Ep01 step 8300/13600: loss = 0.16698
  Ep01 step 8400/13600: loss = 0.16081
  Ep01 step 8500/13600: loss = 0.15576
  Ep01 step 8600/13600: loss = 0.16997
  Ep01 step 8700/13600: loss = 0.17552
  Ep01 step 8800/13600: loss = 0.16378
  Ep01 step 8900/13600: loss = 0.16834
  Ep01 step 9000/13600: loss = 0.16982
  Ep01 step 9100/13600: loss = 0.16046
  Ep01 step 9200/13600: loss = 0.16522
  Ep01 step 9300/13600: loss = 0.16202
  Ep01 step 9400/13600: loss = 0.15975
  Ep01 step 9500/13600: loss = 0.17072
  Ep01 step 9600/13600: loss = 0.15408
  Ep01 step 9700/13600: loss = 0.15099
  Ep01 step 9800/13600: loss = 0.16226
  Ep01 step 9900/13600: loss = 0.17506
  Ep01 step 10000/13600: loss = 0.16718
  Ep01 step 10100/13600: loss = 0.17197
  Ep01 step 10200/13600: loss = 0.15373
  Ep01 step 10300/13600: loss = 0.16520
  Ep01 step 10400/13600: loss = 0.16594
  Ep01 step 10500/13600: loss = 0.15874
  Ep01 step 10600/13600: loss = 0.15437
  Ep01 step 10700/13600: loss = 0.15174
  Ep01 step 10800/13600: loss = 0.16238
  Ep01 step 10900/13600: loss = 0.15769
  Ep01 step 11000/13600: loss = 0.16592
  Ep01 step 11100/13600: loss = 0.16791
  Ep01 step 11200/13600: loss = 0.17454
  Ep01 step 11300/13600: loss = 0.17440
  Ep01 step 11400/13600: loss = 0.16032
  Ep01 step 11500/13600: loss = 0.16442
  Ep01 step 11600/13600: loss = 0.16136
  Ep01 step 11700/13600: loss = 0.17244
  Ep01 step 11800/13600: loss = 0.15645
  Ep01 step 11900/13600: loss = 0.15750
  Ep01 step 12000/13600: loss = 0.15811
  Ep01 step 12100/13600: loss = 0.17231
  Ep01 step 12200/13600: loss = 0.16636
  Ep01 step 12300/13600: loss = 0.16649
  Ep01 step 12400/13600: loss = 0.15416
  Ep01 step 12500/13600: loss = 0.17331
  Ep01 step 12600/13600: loss = 0.15517
  Ep01 step 12700/13600: loss = 0.16687
  Ep01 step 12800/13600: loss = 0.16638
  Ep01 step 12900/13600: loss = 0.16120
  Ep01 step 13000/13600: loss = 0.16666
  Ep01 step 13100/13600: loss = 0.17066
  Ep01 step 13200/13600: loss = 0.16780
  Ep01 step 13300/13600: loss = 0.17073
  Ep01 step 13400/13600: loss = 0.17900
  Ep01 step 13500/13600: loss = 0.16298
  Ep01 step 13600/13600: loss = 0.16802

Epoch 01/6 | train=0.16727 val=0.19043 | AUC=['0.992', '0.986', '0.981', '0.982'] PR=['0.946', '0.938', '0.929', '0.941'] | CASCADE-only AUC=['0.988', '0.981', '0.975', '0.977'] PR=['0.881', '0.886', '0.881', '0.905'] | mono_viol=0.00000 | 1827s

  [checkpoint] best.pt updated (epoch 1, val_loss=0.19043)
  Ep02 step  100/13600: loss = 0.16265
  Ep02 step  200/13600: loss = 0.16764
  Ep02 step  300/13600: loss = 0.16178
  Ep02 step  400/13600: loss = 0.16081
  Ep02 step  500/13600: loss = 0.15441
  Ep02 step  600/13600: loss = 0.16360
  Ep02 step  700/13600: loss = 0.17170
  Ep02 step  800/13600: loss = 0.16608
  Ep02 step  900/13600: loss = 0.17473
  Ep02 step 1000/13600: loss = 0.16386
  Ep02 step 1100/13600: loss = 0.16991
  Ep02 step 1200/13600: loss = 0.16109
  Ep02 step 1300/13600: loss = 0.17028
  Ep02 step 1400/13600: loss = 0.15938
  Ep02 step 1500/13600: loss = 0.17211
  Ep02 step 1600/13600: loss = 0.17325
  Ep02 step 1700/13600: loss = 0.16061
  Ep02 step 1800/13600: loss = 0.17054
  Ep02 step 1900/13600: loss = 0.15851
  Ep02 step 2000/13600: loss = 0.17782
  Ep02 step 2100/13600: loss = 0.16226
  Ep02 step 2200/13600: loss = 0.16308
  Ep02 step 2300/13600: loss = 0.15266
  Ep02 step 2400/13600: loss = 0.15922
  Ep02 step 2500/13600: loss = 0.16305
  Ep02 step 2600/13600: loss = 0.16918
  Ep02 step 2700/13600: loss = 0.16593
  Ep02 step 2800/13600: loss = 0.16657
  Ep02 step 2900/13600: loss = 0.14651
  Ep02 step 3000/13600: loss = 0.16590
  Ep02 step 3100/13600: loss = 0.16002
  Ep02 step 3200/13600: loss = 0.15684
  Ep02 step 3300/13600: loss = 0.18033
  Ep02 step 3400/13600: loss = 0.16779
  Ep02 step 3500/13600: loss = 0.15931
  Ep02 step 3600/13600: loss = 0.15583
  Ep02 step 3700/13600: loss = 0.17075
  Ep02 step 3800/13600: loss = 0.16414
  Ep02 step 3900/13600: loss = 0.16067
  Ep02 step 4000/13600: loss = 0.16857
  Ep02 step 4100/13600: loss = 0.16745
  Ep02 step 4200/13600: loss = 0.15422
  Ep02 step 4300/13600: loss = 0.16289
  Ep02 step 4400/13600: loss = 0.15658
  Ep02 step 4500/13600: loss = 0.16687
  Ep02 step 4600/13600: loss = 0.16859
  Ep02 step 4700/13600: loss = 0.15988
  Ep02 step 4800/13600: loss = 0.16592
  Ep02 step 4900/13600: loss = 0.15925
  Ep02 step 5000/13600: loss = 0.16860
  Ep02 step 5100/13600: loss = 0.17493
  Ep02 step 5200/13600: loss = 0.16855
  Ep02 step 5300/13600: loss = 0.16883
  Ep02 step 5400/13600: loss = 0.15728
  Ep02 step 5500/13600: loss = 0.16878
  Ep02 step 5600/13600: loss = 0.16447
  Ep02 step 5700/13600: loss = 0.15639
  Ep02 step 5800/13600: loss = 0.16236
  Ep02 step 5900/13600: loss = 0.16628
  Ep02 step 6000/13600: loss = 0.16457
  Ep02 step 6100/13600: loss = 0.16160
  Ep02 step 6200/13600: loss = 0.16910
  Ep02 step 6300/13600: loss = 0.16853
  Ep02 step 6400/13600: loss = 0.16801
  Ep02 step 6500/13600: loss = 0.16689
  Ep02 step 6600/13600: loss = 0.17518
  Ep02 step 6700/13600: loss = 0.15352
  Ep02 step 6800/13600: loss = 0.15751
  Ep02 step 6900/13600: loss = 0.16457
  Ep02 step 7000/13600: loss = 0.16446
  Ep02 step 7100/13600: loss = 0.17309
  Ep02 step 7200/13600: loss = 0.15832
  Ep02 step 7300/13600: loss = 0.17348
  Ep02 step 7400/13600: loss = 0.16056
  Ep02 step 7500/13600: loss = 0.16710
  Ep02 step 7600/13600: loss = 0.16455
  Ep02 step 7700/13600: loss = 0.16756
  Ep02 step 7800/13600: loss = 0.17340
  Ep02 step 7900/13600: loss = 0.17037
  Ep02 step 8000/13600: loss = 0.16591
  Ep02 step 8100/13600: loss = 0.16970
  Ep02 step 8200/13600: loss = 0.16079
  Ep02 step 8300/13600: loss = 0.16554
  Ep02 step 8400/13600: loss = 0.14826
  Ep02 step 8500/13600: loss = 0.16696
  Ep02 step 8600/13600: loss = 0.16013
  Ep02 step 8700/13600: loss = 0.16335
  Ep02 step 8800/13600: loss = 0.16127
  Ep02 step 8900/13600: loss = 0.16059
  Ep02 step 9000/13600: loss = 0.16494
  Ep02 step 9100/13600: loss = 0.14234
  Ep02 step 9200/13600: loss = 0.17516
  Ep02 step 9300/13600: loss = 0.16823
  Ep02 step 9400/13600: loss = 0.16639
  Ep02 step 9500/13600: loss = 0.16553
  Ep02 step 9600/13600: loss = 0.15774
  Ep02 step 9700/13600: loss = 0.16426
  Ep02 step 9800/13600: loss = 0.15888
  Ep02 step 9900/13600: loss = 0.17755
  Ep02 step 10000/13600: loss = 0.16913
  Ep02 step 10100/13600: loss = 0.15895
  Ep02 step 10200/13600: loss = 0.17075
  Ep02 step 10300/13600: loss = 0.15384
  Ep02 step 10400/13600: loss = 0.15845
  Ep02 step 10500/13600: loss = 0.16502
  Ep02 step 10600/13600: loss = 0.17346
  Ep02 step 10700/13600: loss = 0.16577
  Ep02 step 10800/13600: loss = 0.16347
  Ep02 step 10900/13600: loss = 0.15572
  Ep02 step 11000/13600: loss = 0.16394
  Ep02 step 11100/13600: loss = 0.16323
  Ep02 step 11200/13600: loss = 0.16782
  Ep02 step 11300/13600: loss = 0.16590
  Ep02 step 11400/13600: loss = 0.17184
  Ep02 step 11500/13600: loss = 0.16867
  Ep02 step 11600/13600: loss = 0.16680
  Ep02 step 11700/13600: loss = 0.16044
  Ep02 step 11800/13600: loss = 0.16810
  Ep02 step 11900/13600: loss = 0.16223
  Ep02 step 12000/13600: loss = 0.17117
  Ep02 step 12100/13600: loss = 0.15231
  Ep02 step 12200/13600: loss = 0.16255
  Ep02 step 12300/13600: loss = 0.16024
  Ep02 step 12400/13600: loss = 0.15585
  Ep02 step 12500/13600: loss = 0.16427
  Ep02 step 12600/13600: loss = 0.16007
  Ep02 step 12700/13600: loss = 0.16273
  Ep02 step 12800/13600: loss = 0.15959
  Ep02 step 12900/13600: loss = 0.17138
  Ep02 step 13000/13600: loss = 0.16292
  Ep02 step 13100/13600: loss = 0.16986
  Ep02 step 13200/13600: loss = 0.16600
  Ep02 step 13300/13600: loss = 0.17096
  Ep02 step 13400/13600: loss = 0.16190
  Ep02 step 13500/13600: loss = 0.16200
  Ep02 step 13600/13600: loss = 0.15793

Epoch 02/6 | train=0.16433 val=0.19011 | AUC=['0.993', '0.987', '0.982', '0.984'] PR=['0.952', '0.944', '0.935', '0.947'] | CASCADE-only AUC=['0.989', '0.983', '0.978', '0.980'] PR=['0.895', '0.898', '0.890', '0.914'] | mono_viol=0.00000 | 2753s

  [checkpoint] best.pt updated (epoch 2, val_loss=0.19011)
  Ep03 step  100/13600: loss = 0.17145
  Ep03 step  200/13600: loss = 0.17009
  Ep03 step  300/13600: loss = 0.16610
  Ep03 step  400/13600: loss = 0.15362
  Ep03 step  500/13600: loss = 0.17008
  Ep03 step  600/13600: loss = 0.16714
  Ep03 step  700/13600: loss = 0.16229
  Ep03 step  800/13600: loss = 0.16893
  Ep03 step  900/13600: loss = 0.16374
  Ep03 step 1000/13600: loss = 0.16374
  Ep03 step 1100/13600: loss = 0.16277
  Ep03 step 1200/13600: loss = 0.17039
  Ep03 step 1300/13600: loss = 0.15776
  Ep03 step 1400/13600: loss = 0.16902
  Ep03 step 1500/13600: loss = 0.16259
  Ep03 step 1600/13600: loss = 0.15374
  Ep03 step 1700/13600: loss = 0.16075
  Ep03 step 1800/13600: loss = 0.17193
  Ep03 step 1900/13600: loss = 0.16947
  Ep03 step 2000/13600: loss = 0.16516
  Ep03 step 2100/13600: loss = 0.15958
  Ep03 step 2200/13600: loss = 0.15630
  Ep03 step 2300/13600: loss = 0.16566
  Ep03 step 2400/13600: loss = 0.15428
  Ep03 step 2500/13600: loss = 0.15736
  Ep03 step 2600/13600: loss = 0.16397
  Ep03 step 2700/13600: loss = 0.17086
  Ep03 step 2800/13600: loss = 0.16091
  Ep03 step 2900/13600: loss = 0.17067
  Ep03 step 3000/13600: loss = 0.16725
  Ep03 step 3100/13600: loss = 0.16899
  Ep03 step 3200/13600: loss = 0.16568
  Ep03 step 3300/13600: loss = 0.17015
