node_id,infra_type,lat,lon,flood_depth_m,cascade_fail_freq,betweenness_centrality
telecom_cluster_00543,telecom,40.7172,-73.9351,0.0,0.994,0.0
telecom_cluster_00576,telecom,40.71907,-73.97607,0.0,0.994,0.0
telecom_cluster_00577,telecom,40.7184,-73.9711,0.0,0.994,0.0
telecom_cluster_00579,telecom,40.7216,-73.96073,0.0,0.994,0.0
telecom_cluster_00580,telecom,40.72065,-73.9505,0.0,0.994,0.0
telecom_cluster_00581,telecom,40.72012,-73.94503,0.0,0.994,0.0
telecom_cluster_00582,telecom,40.7221,-73.9419,0.0,0.994,0.0
telecom_cluster_00613,telecom,40.72385,-73.99003,0.0,0.994,0.0
telecom_cluster_00615,telecom,40.7235,-73.9788,0.0,0.994,0.0
telecom_cluster_00617,telecom,40.7256,-73.9718,0.0,0.994,0.0
telecom_cluster_00618,telecom,40.7226,-73.9589,0.0,0.994,0.0
telecom_cluster_00619,telecom,40.72497,-73.94907,0.0,0.994,0.0
telecom_cluster_00620,telecom,40.7227,-73.9385,0.0,0.994,0.0
telecom_cluster_00657,telecom,40.73038,-73.9855,0.0,0.994,0.0
telecom_cluster_00660,telecom,40.7298,-73.97045,0.0,0.994,0.0
telecom_cluster_00661,telecom,40.7277,-73.965,0.0,0.994,0.0
telecom_cluster_00662,telecom,40.7275,-73.9499,0.0,0.994,0.0
telecom_cluster_00702,telecom,40.7344,-73.9723,0.0,0.994,0.0
telecom_cluster_02638,telecom,40.71339,-73.95383,0.0,0.994,0.0
telecom_cluster_02640,telecom,40.71475,-73.9442,0.0,0.994,0.0
telecom_cluster_02696,telecom,40.72013,-73.94449,0.0,0.994,0.0
telecom_cluster_02745,telecom,40.72527,-73.95,0.0,0.994,0.0
telecom_cluster_02746,telecom,40.7253,-73.9435,0.0,0.994,0.0
telecom_cluster_02796,telecom,40.72973,-73.95042,0.0,0.994,0.0
telecom_cluster_00574,telecom,40.72054,-73.99036,0.0,0.991,0.0
telecom_cluster_02687,telecom,40.71997,-73.98929,0.0,0.991,0.0
telecom_cluster_00459,telecom,40.7048,-73.9505,0.0,0.99,0.0
telecom_cluster_00743,telecom,40.74065,-73.98473,0.0,0.99,0.0
telecom_cluster_02688,telecom,40.72027,-73.98513,0.0,0.989,0.0
telecom_cluster_00428,telecom,40.7014,-73.9355,0.0,0.985,0.0
telecom_cluster_03020,telecom,40.7477,-73.9619,0.0,0.984,0.0
power_alley_park,power,40.74372,-73.76148,0.0,0.983,2e-06
fuel_station_unknown_gas_station_0549,fuel,40.7442,-73.77554,0.0,0.983,0.0
hospital_bronxcare_hospital_center,hospital,40.84348,-73.91103,0.0,0.983,0.0
hospital_new_york_presbyterian_hospital___allen_h,hospital,40.87334,-73.91302,0.0,0.983,0.0
hospital_sbh_health_system,hospital,40.85336,-73.89085,0.0,0.983,0.0
telecom_cluster_00762,telecom,40.7376,-73.7664,0.0,0.983,0.0
telecom_cluster_02930,telecom,40.7404,-73.7696,0.0,0.983,0.0
telecom_cluster_02985,telecom,40.7449,-73.77035,0.0,0.983,0.0
power_sutphin,power,40.68902,-73.79547,0.0,0.979,0.0
telecom_cluster_02342,telecom,40.6856,-73.80795,0.0,0.979,0.0
water_well_station_#11,water,40.68552,-73.80169,0.0,0.979,0.0
telecom_cluster_03304,telecom,40.7728,-73.8798,0.0,0.973,0.0
telecom_cluster_00789,telecom,40.74513,-73.98137,0.0,0.971,0.0
telecom_cluster_03256,telecom,40.7683,-73.8876,0.0,0.971,0.0
water_spring_creek_park,water,40.65704,-73.86148,0.0,0.971,0.0
telecom_cluster_03372,telecom,40.7842,-73.9327,0.0,0.968,0.0
fuel_station_bay_blvd_0033,fuel,40.62842,-73.73729,0.0,0.965,0.0
fuel_station_bay_blvd_0061,fuel,40.62818,-73.73805,0.0,0.965,0.0
fuel_station_bay_blvd_0079,fuel,40.62832,-73.7376,0.0,0.965,0.0
fuel_station_conoco_0198,fuel,40.62828,-73.73682,0.0,0.965,0.0
fuel_station_peninsula_blvd_0002,fuel,40.63265,-73.72427,0.0,0.965,0.0
fuel_station_peninsula_blvd_0003,fuel,40.6311,-73.7289,0.0,0.965,0.0
fuel_station_peninsula_blvd_0008,fuel,40.62887,-73.73588,0.0,0.965,0.0
fuel_station_peninsula_blvd_0012,fuel,40.62965,-73.73345,0.0,0.965,0.0
fuel_station_peninsula_blvd_0016,fuel,40.63135,-73.7281,0.0,0.965,0.0
fuel_station_peninsula_blvd_0017,fuel,40.63233,-73.72506,0.0,0.965,0.0
fuel_station_peninsula_blvd_0030,fuel,40.62998,-73.73244,0.0,0.965,0.0
fuel_station_peninsula_blvd_0042,fuel,40.63033,-73.73134,0.0,0.965,0.0
fuel_station_peninsula_blvd_0050,fuel,40.63158,-73.7274,0.0,0.965,0.0
fuel_station_peninsula_blvd_0051,fuel,40.63179,-73.72672,0.0,0.965,0.0
fuel_station_peninsula_blvd_0052,fuel,40.63018,-73.73183,0.0,0.965,0.0
fuel_station_peninsula_blvd_0054,fuel,40.6331,-73.72353,0.0,0.965,0.0
fuel_station_peninsula_blvd_0055,fuel,40.63361,-73.72294,0.0,0.965,0.0
fuel_station_peninsula_blvd_0064,fuel,40.63057,-73.73059,0.0,0.965,0.0
fuel_station_peninsula_blvd_0065,fuel,40.63098,-73.7293,0.0,0.965,0.0
fuel_station_peninsula_blvd_0070,fuel,40.63083,-73.72977,0.0,0.965,0.0
fuel_station_peninsula_blvd_0072,fuel,40.62931,-73.73454,0.0,0.965,0.0
fuel_station_peninsula_blvd_0074,fuel,40.63635,-73.71953,0.0,0.965,0.0
fuel_station_peninsula_blvd_0075,fuel,40.63522,-73.72098,0.0,0.965,0.0
fuel_station_peninsula_blvd_0076,fuel,40.62979,-73.73304,0.0,0.965,0.0
fuel_station_peninsula_blvd_0077,fuel,40.62944,-73.73412,0.0,0.965,0.0
fuel_station_peninsula_blvd_0083,fuel,40.63206,-73.72589,0.0,0.965,0.0
