element_type,element_id,name,n_times_failed,n_converged_runs,pct_failed
line,1906,HUDSON AVENUE <-> FARRAGUT,266,1000,26.6
line,1901,GOWANUS <-> FARRAGUT,251,1000,25.1
trafo,86,FARRAGUT <-> FARRAGUT (trafo),247,1000,24.7
line,1902,GOWANUS <-> FARRAGUT,247,1000,24.7
trafo,87,FARRAGUT <-> FARRAGUT (trafo),247,1000,24.7
line,1905,HUDSON AVENUE <-> FARRAGUT,233,1000,23.3
line,1148,UNKNOWN129920 <-> GOWANUS,231,1000,23.1
line,1907,FARRAGUT <-> LEONARD STREET,214,1000,21.4
line,1904,FARRAGUT <-> RAINEY,212,1000,21.2
line,1150,UNKNOWN129920 <-> LEONARD STREET,207,1000,20.7
line,1903,FARRAGUT <-> RAINEY,205,1000,20.5
line,1149,UNKNOWN129920 <-> LEONARD STREET,205,1000,20.5
bus,1529,FARRAGUT,173,1000,17.3
line,1283,HUDSON AVENUE <-> JAMAICA,171,1000,17.1
line,1215,UNKNOWN124169 <-> CORONA,167,1000,16.7
line,1284,HUDSON AVENUE <-> JAMAICA,164,1000,16.4
bus,570,UNKNOWN129920,136,1000,13.6
bus,1131,FARRAGUT,135,1000,13.5
line,1218,EAST ASTORIA <-> CORONA,128,1000,12.8
line,1217,EAST ASTORIA <-> CORONA,120,1000,12.0
line,1219,EAST ASTORIA <-> CORONA,116,1000,11.6
line,87,UNKNOWN124169 <-> EAST ASTORIA,109,1000,10.9
line,88,UNKNOWN124169 <-> EAST ASTORIA,99,1000,9.9
line,204,EAST ASTORIA <-> EAST 13TH STREET,99,1000,9.9
line,1216,EAST ASTORIA <-> CORONA,96,1000,9.6
line,1206,DUNWOODIE <-> GREAT NECK,91,1000,9.1
line,205,EAST 13TH STREET <-> WEST 49TH STREET,88,1000,8.8
line,203,EAST ASTORIA <-> EAST 13TH STREET,88,1000,8.8
line,1207,TREMONT <-> GREAT NECK,84,1000,8.4
line,1188,WEST 49TH STREET <-> SPRAIN BROOK,80,1000,8.0
line,1189,WEST 49TH STREET <-> SPRAIN BROOK,77,1000,7.7
