node_id,infra_type,lon,lat,flood_depth_m,flooded
power_tap140970,power,-74.09750290399995,40.73830605200004,0.0,False
power_tap135491,power,-73.70860180499994,40.66288109200008,0.0,False
power_tap135492,power,-73.73301801399998,40.63748275700004,0.0,False
power_tap135493,power,-73.70226896199995,40.661025417000076,0.0,False
power_unknown162554,power,-74.174971,40.747978,0.0,False
power_bergen,power,-74.01649311099999,40.83407160300004,0.0,False
power_unknown132952,power,-74.02435545699996,40.84029657200006,0.0,False
power_unknown132953,power,-74.02173804899996,40.838402521000035,0.0,False
power_maywood,power,-74.07060671299996,40.899205703000064,0.0,False
power_leonia,power,-73.99161138299996,40.86801394300005,0.0,False
power_kingsland,power,-74.11705482599996,40.79192197000003,0.0,False
power_hvdc_b2b_station_hudson,power,-74.01256685399994,40.83206273600007,0.0,False
power_saddle_brook,power,-74.10110853499998,40.88904804800006,0.0,False
power_essex,power,-74.12238833199996,40.73719609700004,0.0,False
power_newark_switching_station,power,-74.17774994299998,40.73306494500008,0.0,False
power_federal_square,power,-74.17461385499996,40.72657715300005,0.0,False
power_marion_drive,power,-74.25828308399997,40.79196184400007,0.0,False
power_west_orange,power,-74.25714855399997,40.789943436000044,0.0,False
power_cedar_grove,power,-74.22146601899993,40.868371171000035,0.0,False
power_cook_road,power,-74.17834096999997,40.811783035000076,0.0,False
power_belleville,power,-74.14209357599998,40.802789447000066,0.0,False
power_unknown132357,power,-74.05517502999999,40.76339734900006,0.0,False
power_unknown132362,power,-74.03591189399998,40.78877955300004,0.0,False
power_marion,power,-74.06991519499996,40.746442699000056,0.0,False
power_unknown132951,power,-74.07259208799996,40.744493920000025,0.0,False
power_bayonne_switching_station,power,-74.10552327799996,40.69421755900004,0.0,False
power_turnpike,power,-74.11706678299998,40.760707972000034,0.0,False
power_unknown140971,power,-74.0544115,40.716165353000065,0.0,False
power_kearny,power,-74.09857466899996,40.73798009400008,0.0,False
power_njt_meadowlands_rail_substaion,power,-74.10268233999994,40.74554979900006,0.0,False
power_penhorn,power,-74.07331117099994,40.74929736200005,0.0,False
power_homestead,power,-74.04219029399997,40.77888959500007,0.0,False
power_north_bergen,power,-74.02561339299996,40.804200396000056,0.0,False
power_sewaren,power,-74.24800582099994,40.55687262500004,0.0,False
power_unknown140874,power,-74.25205153999997,40.56089380900005,0.0,False
power_minue_street,power,-74.23794251399994,40.59098004600003,0.0,False
power_athenia_switching_station,power,-74.15828803799997,40.86128930500007,0.0,False
