fips_code,county,state,customers_out,run_start_time
25025,Suffolk,Massachusetts,5,2018-01-03 01:45:01
25025,Suffolk,Massachusetts,4,2018-01-03 02:00:00
25025,Suffolk,Massachusetts,4,2018-01-03 02:15:00
25025,Suffolk,Massachusetts,4,2018-01-03 02:30:00
25025,Suffolk,Massachusetts,4,2018-01-03 02:45:00
25025,Suffolk,Massachusetts,4,2018-01-03 03:00:00
25025,Suffolk,Massachusetts,2,2018-01-03 03:15:00
25025,Suffolk,Massachusetts,2,2018-01-03 03:30:00
25025,Suffolk,Massachusetts,2,2018-01-03 03:45:00
25025,Suffolk,Massachusetts,2,2018-01-03 04:00:00
25025,Suffolk,Massachusetts,2,2018-01-03 04:15:00
25025,Suffolk,Massachusetts,2,2018-01-03 04:30:00
25025,Suffolk,Massachusetts,2,2018-01-03 04:45:00
25025,Suffolk,Massachusetts,6,2018-01-03 05:00:00
25025,Suffolk,Massachusetts,2,2018-01-03 05:15:00
25025,Suffolk,Massachusetts,1,2018-01-03 05:30:00
25025,Suffolk,Massachusetts,1,2018-01-03 05:45:00
25025,Suffolk,Massachusetts,1,2018-01-03 06:00:00
25025,Suffolk,Massachusetts,120,2018-01-03 06:15:00
25025,Suffolk,Massachusetts,121,2018-01-03 06:30:00
25025,Suffolk,Massachusetts,121,2018-01-03 06:45:00
25025,Suffolk,Massachusetts,120,2018-01-03 07:00:00
25025,Suffolk,Massachusetts,118,2018-01-03 07:15:00
25025,Suffolk,Massachusetts,118,2018-01-03 07:30:00
25025,Suffolk,Massachusetts,118,2018-01-03 07:45:00
25025,Suffolk,Massachusetts,118,2018-01-03 08:00:00
25025,Suffolk,Massachusetts,118,2018-01-03 08:15:00
25025,Suffolk,Massachusetts,118,2018-01-03 08:30:00
25025,Suffolk,Massachusetts,27,2018-01-03 08:45:00
25025,Suffolk,Massachusetts,215,2018-01-03 09:00:00
25025,Suffolk,Massachusetts,215,2018-01-03 09:15:00
25025,Suffolk,Massachusetts,217,2018-01-03 09:30:00
25025,Suffolk,Massachusetts,214,2018-01-03 09:45:00
25025,Suffolk,Massachusetts,30,2018-01-03 10:00:00
25025,Suffolk,Massachusetts,30,2018-01-03 10:15:00
25025,Suffolk,Massachusetts,26,2018-01-03 10:30:00
25025,Suffolk,Massachusetts,1,2018-01-03 11:00:00
25025,Suffolk,Massachusetts,2,2018-01-03 14:15:00
25025,Suffolk,Massachusetts,151,2018-01-03 14:30:00
25025,Suffolk,Massachusetts,153,2018-01-03 14:45:00
25025,Suffolk,Massachusetts,152,2018-01-03 15:00:00
25025,Suffolk,Massachusetts,152,2018-01-03 15:15:00
25025,Suffolk,Massachusetts,152,2018-01-03 15:30:00
25025,Suffolk,Massachusetts,152,2018-01-03 15:45:00
25025,Suffolk,Massachusetts,152,2018-01-03 16:00:00
25025,Suffolk,Massachusetts,152,2018-01-03 16:15:00
25025,Suffolk,Massachusetts,152,2018-01-03 16:30:00
25025,Suffolk,Massachusetts,153,2018-01-03 16:45:00
25025,Suffolk,Massachusetts,153,2018-01-03 17:00:00
25025,Suffolk,Massachusetts,151,2018-01-03 17:15:00
25025,Suffolk,Massachusetts,152,2018-01-03 17:30:00
25025,Suffolk,Massachusetts,152,2018-01-03 17:45:00
25025,Suffolk,Massachusetts,152,2018-01-03 18:00:00
25025,Suffolk,Massachusetts,152,2018-01-03 18:15:00
25025,Suffolk,Massachusetts,152,2018-01-03 18:30:00
25025,Suffolk,Massachusetts,151,2018-01-03 18:45:00
25025,Suffolk,Massachusetts,151,2018-01-03 19:00:00
25025,Suffolk,Massachusetts,152,2018-01-03 19:15:00
25025,Suffolk,Massachusetts,152,2018-01-03 19:30:00
25025,Suffolk,Massachusetts,4,2018-01-03 19:45:00
25025,Suffolk,Massachusetts,5,2018-01-03 20:00:00
25025,Suffolk,Massachusetts,5,2018-01-03 20:15:00
25025,Suffolk,Massachusetts,4,2018-01-03 20:30:00
25025,Suffolk,Massachusetts,4,2018-01-03 20:45:00
25025,Suffolk,Massachusetts,4,2018-01-03 21:00:00
25025,Suffolk,Massachusetts,4,2018-01-03 21:15:00
25025,Suffolk,Massachusetts,4,2018-01-03 21:30:00
25025,Suffolk,Massachusetts,4,2018-01-03 21:45:00
25025,Suffolk,Massachusetts,4,2018-01-03 22:00:00
25025,Suffolk,Massachusetts,4,2018-01-03 22:15:00
25025,Suffolk,Massachusetts,4,2018-01-03 22:30:00
25025,Suffolk,Massachusetts,4,2018-01-03 22:45:00
25025,Suffolk,Massachusetts,4,2018-01-03 23:00:00
25025,Suffolk,Massachusetts,3,2018-01-03 23:15:00
25025,Suffolk,Massachusetts,3,2018-01-03 23:30:00
25025,Suffolk,Massachusetts,3,2018-01-03 23:45:00
25025,Suffolk,Massachusetts,3,2018-01-04 00:00:00
25025,Suffolk,Massachusetts,4,2018-01-04 00:15:01
25025,Suffolk,Massachusetts,4,2018-01-04 00:30:02
25025,Suffolk,Massachusetts,3,2018-01-04 00:45:00
25025,Suffolk,Massachusetts,3,2018-01-04 01:00:03
25025,Suffolk,Massachusetts,2,2018-01-04 01:15:00
25025,Suffolk,Massachusetts,2,2018-01-04 01:45:00
25025,Suffolk,Massachusetts,2,2018-01-04 02:00:00
25025,Suffolk,Massachusetts,2,2018-01-04 02:15:00
25025,Suffolk,Massachusetts,2,2018-01-04 02:30:00
25025,Suffolk,Massachusetts,2,2018-01-04 02:45:00
25025,Suffolk,Massachusetts,2,2018-01-04 03:00:00
25025,Suffolk,Massachusetts,2,2018-01-04 03:15:00
25025,Suffolk,Massachusetts,2,2018-01-04 03:30:00
25025,Suffolk,Massachusetts,2,2018-01-04 03:45:00
25025,Suffolk,Massachusetts,2,2018-01-04 04:00:00
25025,Suffolk,Massachusetts,2,2018-01-04 04:15:00
25025,Suffolk,Massachusetts,2,2018-01-04 04:30:00
25025,Suffolk,Massachusetts,2,2018-01-04 04:45:00
25025,Suffolk,Massachusetts,1,2018-01-04 05:00:00
25025,Suffolk,Massachusetts,1,2018-01-04 05:15:00
25025,Suffolk,Massachusetts,1,2018-01-04 05:30:00
25025,Suffolk,Massachusetts,1,2018-01-04 05:45:00
25025,Suffolk,Massachusetts,91,2018-01-04 07:00:00
25025,Suffolk,Massachusetts,94,2018-01-04 07:15:00
25025,Suffolk,Massachusetts,91,2018-01-04 07:30:00
25025,Suffolk,Massachusetts,1,2018-01-04 11:45:00
25025,Suffolk,Massachusetts,1,2018-01-04 12:00:00
25025,Suffolk,Massachusetts,1,2018-01-04 12:15:00
25025,Suffolk,Massachusetts,1,2018-01-04 12:30:00
25025,Suffolk,Massachusetts,1,2018-01-04 12:45:00
25025,Suffolk,Massachusetts,1,2018-01-04 13:00:00
25025,Suffolk,Massachusetts,1,2018-01-04 13:15:00
25025,Suffolk,Massachusetts,1,2018-01-04 13:45:00
