osi_node_id,osi_name,osi_asset_type,Rutgers_data,match_type,distance_m,ward_pp_bus_idx,ward_bus_name,n_times_failed,n_converged_runs,pct_failed
S23,Rockaway,substation,True,nearest_neighbor,2743.51,627,JAMAICA,14,1000,1.4
S26,Cunningham,substation,True,nearest_neighbor,4070.13,627,JAMAICA,14,1000,1.4
S16,Whitestone,substation,True,nearest_neighbor,6851.54,600,CORONA,14,1000,1.4
S29,Linden,substation,True,nearest_neighbor,3075.47,569,UNKNOWN129913,14,1000,1.4
S10,Springfield,substation,True,nearest_neighbor,1518.78,569,UNKNOWN129913,14,1000,1.4
S3,Aqueduct,substation,True,nearest_neighbor,3263.26,627,JAMAICA,14,1000,1.4
S2,Rosedale,substation,True,nearest_neighbor,1120.16,569,UNKNOWN129913,14,1000,1.4
S11,151St Avenue,substation,True,nearest_neighbor,4997.1,627,JAMAICA,14,1000,1.4
S13,Montefiore,substation,True,nearest_neighbor,1750.97,569,UNKNOWN129913,14,1000,1.4
S15,146Th Avenue,substation,True,nearest_neighbor,985.93,569,UNKNOWN129913,14,1000,1.4
S8,Jamaica,substation,True,coincident,0.05,627,JAMAICA,14,1000,1.4
S47,Woodhaven,substation,True,nearest_neighbor,2743.45,627,JAMAICA,14,1000,1.4
S41,Brinkerhoff,substation,True,nearest_neighbor,2245.43,627,JAMAICA,14,1000,1.4
S44,Auburndale,substation,True,nearest_neighbor,6665.37,600,CORONA,14,1000,1.4
S39,160Th Avenue,substation,True,nearest_neighbor,5519.89,627,JAMAICA,14,1000,1.4
S151,Unknown135527,substation,True,nearest_neighbor,3252.71,627,JAMAICA,14,1000,1.4
S60,Centerville,substation,True,nearest_neighbor,3327.66,627,JAMAICA,14,1000,1.4
S62,Hollis,substation,True,nearest_neighbor,5042.3,569,UNKNOWN129913,14,1000,1.4
S49,Livonia Avenue,substation,True,nearest_neighbor,7360.33,627,JAMAICA,14,1000,1.4
S53,Causeway,substation,True,nearest_neighbor,4623.28,600,CORONA,14,1000,1.4
S56,Sutphin,substation,True,nearest_neighbor,1923.58,627,JAMAICA,14,1000,1.4
S74,Union,substation,True,nearest_neighbor,6037.9,627,JAMAICA,14,1000,1.4
S87,Lefferts,substation,True,nearest_neighbor,2548.72,627,JAMAICA,14,1000,1.4
S63,Brownsville,substation,True,nearest_neighbor,7878.94,627,JAMAICA,14,1000,1.4
S52,Cedar Manor,substation,True,nearest_neighbor,2681.27,627,JAMAICA,14,1000,1.4
S57,Flushing,substation,True,nearest_neighbor,3466.44,600,CORONA,14,1000,1.4
S189,S189,substation,False,nearest_neighbor,1749.69,627,JAMAICA,14,1000,1.4
S71,Howard Beach,substation,True,nearest_neighbor,4596.7,627,JAMAICA,14,1000,1.4
S65,253Rd Place,substation,True,nearest_neighbor,1779.52,569,UNKNOWN129913,14,1000,1.4
S299,S299,substation,False,nearest_neighbor,3804.57,600,CORONA,14,1000,1.4
S12,Cedarhurst,substation,True,nearest_neighbor,1881.5,626,WOODMERE,12,1000,1.2
S97,Woodmere,substation,True,coincident,0.04,626,WOODMERE,12,1000,1.2
T3,Tap135492,tap,True,coincident,0.03,620,TAP135492,12,1000,1.2
S163,Unknown129540,substation,True,nearest_neighbor,1996.29,626,WOODMERE,12,1000,1.2
S223,S223,substation,False,nearest_neighbor,918.8,621,TAP135493,10,1000,1.0
T2,Tap135491,tap,True,nearest_neighbor,573.67,621,TAP135493,10,1000,1.0
S321,S321,substation,False,nearest_neighbor,159.0,622,FAR ROCKAWAY,10,1000,1.0
T4,Tap135493,tap,True,coincident,0.05,621,TAP135493,10,1000,1.0
P25,Jamaica Bay Peaking,plant,False,nearest_neighbor,173.75,622,FAR ROCKAWAY,10,1000,1.0
S115,Hewlett,substation,True,coincident,0.02,623,HEWLETT,10,1000,1.0
S111,Far Rockaway,substation,True,coincident,0.01,622,FAR ROCKAWAY,10,1000,1.0
S48,Arverne,substation,True,nearest_neighbor,2792.63,622,FAR ROCKAWAY,10,1000,1.0
