ward_idx,pp_bus_idx,bus_name,bus_number,vn_kv,latitude,longitude,ps_mw,qs_mvar,pz_mw,qz_mvar,in_service,p_mw_result,q_mvar_result,vm_pu_bus
0,16,UNKNOWN124147,17,138.0,40.618101,-73.647975,-1.0475014278199524e-07,0.0,0.0,-0.0,True,-0.0,0.0,1.01
1,560,UNKNOWN129558,561,69.0,40.763735,-73.669169,52.87473914775363,-14.074654711637738,-2.4064060189008982,-13.445728941257666,True,50.4511,-27.6169,1.003582
2,585,PORT WASHINGTON,586,69.0,40.827546,-73.687364,6.539034446405552,15.431367920843556,-1.8600203449625292,-5.156947222758337,True,4.6812,10.2804,0.999416
3,593,SPRAIN BROOK,594,345.0,40.957298,-73.856367,269.29894101534404,1153.4710580107978,23.101559856487974,-2545.0492473741438,True,292.927,-1449.5811,1.011331
4,625,VALLEY STREAM,626,69.0,40.665619,-73.685608,180.73538722773688,-64.52190826902273,-1.5124818524551984,-12.926955493317042,True,179.2182,-77.489,1.001551
5,996,TAP140039,997,69.0,40.658061,-73.639041,-14.716788086687103,18.910090774394497,-6.278105963770468,-20.13069316659593,True,-21.0782,-1.4878,1.006616
6,1262,MARCY,1263,765.0,43.178714,-75.222526,-3647.1524093575117,0.0,125.98902459844695,-4173.678651430326,True,-3521.1634,-4173.6787,1.0
7,1466,UNKNOWN124147,1467,69.0,40.618101,-73.647975,0.2691817821652194,-0.005424901180333563,-4.420956834279493e-06,-0.08815214594051991,True,0.2692,-0.0951,1.008876
8,1499,DUNWOODIE,1500,69.0,40.940276,-73.857313,0.6977816305319209,1.763548843578734,0.21247820968476336,-3.8673860028690825,True,0.9155,-2.1985,1.012169
9,1500,DUNWOODIE,1501,138.0,40.940276,-73.857313,1.0775413108838165,1.5821266461475716,0.19461038286793428,-3.8841080095186347,True,1.2771,-2.4014,1.012715
10,1501,SPRAIN BROOK,1502,138.0,40.957298,-73.856367,-9.357563612866215e-09,-9.359126806884888e-09,0.0,-0.0,True,-0.0,-0.0,1.008111
